review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC424_069,CMSC424,Daniel Abadi,2024,4,"The projects and the content of the course are very interesting; I think Abadi does a good job of making sure you know the material (as long as you put in the normal amount of effort to learn course content) through his reading quiz questions and projects. However, he is not a very good lecturer. Definitely knowledgeable about the topics.",1,0,0,1,0,0,0,0,The projects and the content of the course are very interesting; I think Abadi does a good job of,"Clear evidence supports project heavy, time consuming."
PHYS410_004,PHYS410,Peter Shawhan,2012,5,"Professor Shawhan is pretty good at explaining concepts, has great lecture slides that he writes into a pdf program as he projects it during class, and is quite genuinely EXTREMELY nice. I almost gave a rating of a 4 simply because his lecturing style could still use a bit of work--entertaining student questions is usually good, but occasionally he lets a student go on too long or spends too much time on a small detail. Also, since what he writes into the program he later posts, he tries to be careful about his spelling/etc., which probably takes a minute or two cumulative out of every 50 minute lecture, but not exactly a big deal, so I decided it didn't merit a lower rating.",1,0,0,1,0,0,0,0,"Professor Shawhan is pretty good at explaining concepts, has great lecture slides that he writes into a pdf program","Clear evidence supports project heavy, time consuming."
CMSC433_041,CMSC433,Anwar Mamat,2026,4,"This class might be the most useless class I have taken at UMD. The class isn't that bad, and the projects were fine. He added a final exam worth 25% (which wasn't too difficult). My only complaint is honestly with myself, as I feel like I wasted my time on this class. He gave 1% EC because 90% of the students completed the course eval, which was a nice thing. He took attendance at least once a week on average on GradeScope (worth 5% of your overall grade), so be aware. He does record lectures, so that's a plus. Just look at his website for 433 online and see if you could benefit from learning the material. In my opinion, it is the most useless class (but well, that just might be me, so...). Otherthan that, if you put the effort, it should be decently easy to get an A. Not like a free A class, but very fair to do well.",1,1,0,0,0,0,0,0,"This class might be the most useless class I have taken at UMD. The class isn't that bad, and","Clear evidence supports project heavy, exam heavy."
CMSC422_032,CMSC422,Mohammad Nayeem Teli,2024,4,"Teli's teaching style worked for me. He goes through the math on paper in a step-by-step manner, making it very clear to understand even for someone like me who last took lin alg and calculus years ago. The exams can vary in difficulty a lot. The midterm's average was a B, but the final's average was a D. There was no curve for the class in the end. My advice is to try and write every formula down on the cheatsheet for the exam, and I do mean everything. it can save you time on the exam. The projects were not that difficult if you are proficient in Python, but they were time consuming. The only criticism I had for the class was that it sometimes took a while to get a response on Piazza, if you do get one at all (usually a day later).",1,1,0,1,0,1,0,0,"The projects were not that difficult if you are proficient in Python, but they were time consuming.","Clear evidence supports project heavy, exam heavy, time consuming, harsh grading."
CMSC426_020,CMSC426,Christopher Metzler,2023,5,"He's really good at explaining things that are hard to explain in words. He records lectures which is helpful. The written homeworks are pretty tough but he's pretty fair about the amount of time given and is reasonable about extensions in some situations. The only things I wish were different about this class is I wish the recording audio was more clear, and I wish he recorded some of the math he does on the board. Some professors use a hand cam when they need to show examples on paper. It would have been really helpful if he did that, because basically if you failed to understand it during lecture time you never got another chance to hear an explanation. I also wish he used a screenrecorder to record slides as he lectures. The recordings just had terrible quality. Another problem I had was that piazza responses were pretty slow, even though the class size wasn't all that big. Usually took 1-2 days for a reply. Another problem I had with this class is that one part of the class involved some vector calc stuff (Calc 3) even though its not a prereq for this course. Maybe putting a calc 3 prereq would make class sizes too small, I don't know. But I had great difficulty wrapping my head around those parts of the course (Neural networks). That's not anyones fault but its just something to keep in mind if you want to take this class. You'll have a really good time in this class if you've taken data science, intro to ml, intro to lin alg, and calc 3. I only took intro to lin alg so I really struggled, but they don't grade too harshly. Despite the minor problems I listed, prof Metzler is such a good professor that it just outshines the issues. Lecturing a computer vision class, understanding all the concepts so well that you can break it down to students is seriously difficult so I was just grateful we got someone so capable of teaching it. The neural network project and the visual odometry project are very interesting and really shocked me that you can get a computer to do that. Very good class.",1,0,1,0,0,0,0,0,"Lecturing a computer vision class, understanding all the concepts so well that you can break it down to students","Clear evidence supports project heavy, homework heavy."
CMSC132_441,CMSC132,Pedram Sadeghian,2025,4,"Most of these comments are hate tbh... He really does prepare you well for the exam, it's their fault, mine included, that we didn't study according to his guide. The second exam that had such a low average was only so low cause no one did the project first as he recommended. I noticed after having done his project that the exam would have been much easier. I went through most of my exams, and maybe these dudes are genuinely having a more difficult time than I am, but most of my mistakes were trivial. I wouldn't attribute that to him being a problem though. I don't think he's perfect, but if I could, I'd give a 4.5. Rounding down due to certain things that are put in place that I just don't agree with (Style options for example)",1,1,0,0,0,0,0,0,The second exam that had such a low average was only so low cause no one did the project,"Clear evidence supports project heavy, exam heavy."
CMSC216_414,CMSC216,Ilchul Yoon,2025,3,"To whom it may concern, Yoon's exams can be challenging. To do well on them, make sure you really play around with edge cases on the compiler, modify the lecture example code. Do not think about this class as a class about C, just how bits and such are set. Assembly will inevitably feel hard, just practice and it should be ok. For projects, many of the hidden test cases are decently predictable, make sure your program can handle what the spec says it should handle. For example, if you are making a playlist program and the spec says the number of songs will never exceed 80, make sure you test how the program handles an empty playlist or a completely full one. They can really take a chunk out of your grade, but these hidden tests are usually just testing small edge cases. Make sure you check gradescope for the lab assignments as they aren't always announced. He sets cuttoffs at the end, I think they were lowered by around 3% for my specific scenario. He is a really nice guy.",1,1,0,0,0,0,0,0,"Assembly will inevitably feel hard, just practice and it should be ok. For projects, many of the hidden test","Clear evidence supports project heavy, exam heavy."
CMSC421_084,CMSC421,William Regli,2025,3,"Dr. Kim and Dr. Regli were co-teaching this semester (Fall 2025), so their lectures, homework, projects, and exams were the same. I think you should probably have some basic background in AI because I didn't, so that made all the concepts really hard to understand/follow. But this is a skill issue lol Some notes: - 3 coding projects. ACTUALLY DO PROJECT 1 WELL BEFORE THE DUE DATE PLEASE 🙏🙏🙏 It is the hardest project out of all 3. Even if they haven't taught the concepts yet, just use Google and stuff to learn, JUST DO IT EARLY!!!! All projects are coding + writing. For example, for Project 1, you had to write a full report alongside the code. - 4 homeworks. - 2 midterms and 1 final (non-cumulative). You're allowed a cheatsheet (front and back) for all exams. All exams are multiple choice, so no partial credit. - All lectures are recorded. - All slides are posted. - Optional 1-2 hour recitations/discussions where TAs or the professors explain some of the concepts or how to start a project. In my opinion, midterms 1 and 2 were too close together (I think they were a little over a month apart), but maybe my perception of time was warped lol. In either case, the content needed for the final feels like a whole year's worth of content with how dense it is. So don't be fooled by the ""non-cumulative""; the final will always be hard for a conceptually challenging class like this one. Dr. Regli is an okay guy. His hats are fun. I haven't spoken to him one-on-one or asked for help during office hours, but I think he lectures okay...? The way he explains things can sometimes be contradictory and not that well-explained. I think to really understand his lectures, you have to read the book (optional), research/learn on your own, and review a lot. Piazza is not the greatest place to get clear answers. Dr. Regli tends to get a bit annoyed when students ask the same question, which is fair since there is a search bar in Piazza, but sometimes his answers to questions can come off as a bit condescending. It is kind of funny when he types out ""sigh"" though...",1,1,1,0,0,1,0,0,"Kim and Dr. Regli were co-teaching this semester (Fall 2025), so their lectures, homework, projects, and exams were the","Clear evidence supports project heavy, exam heavy, homework heavy, harsh grading."
CMSC426_017,CMSC426,Christopher Metzler,2023,2,"Not a huge fan of the lecturing style at all and I attended almost every class. Lectures are dull. Prof just reads off the slides and doesn't seem prepared for questions. He is a lot better at answering questions on Piazza than answering them during lecture. There's a lot of conceptual material but often he refers to variables/equations/concepts as ""this"" or ""that"" while lecturing—delivery could be clearer. Grading is slow. BUT, I honestly think you could get by decently in this class without attending any lectures at all. Slides are detailed and always posted to Canvas. Grades are all based on a few homework assignments and projects with very clear grading criteria and instructions. Grading is lenient with a lot of opportunities for extra credit.",0,0,1,0,0,0,0,0,Slides are detailed and always posted to Canvas. Grades are all based on a few homework assignments and projects,Clear evidence supports homework heavy.
CMSC250_472,CMSC250,Maksym Morawski,2025,1,"Max is very unorganized, but still tries to make the class interesting and actually manages to do so in my opinion. The other parts of the course tho, are really REALLY bad. I have never had any problems in math academically, and this is the first class I got a 50% grade on a midterm. The scaling of the exams is actually so bad, and while the 2nd midterm was fine, the third midterm was out of 30 points, and each question would be like 2 points to 4 points. But if you commit a minor small mistake, they will deduct half the points. I forgot to multiply one number in the denominator of a question, and I got a 1/4 for that, which deducted 10% of my grade on the midterm. The TA's are actually the worst ones I've ever seen, the discussions are mandatory but not like you learn anything in those worksheets either. The TAs don't answer piazza questions, don't grade properly, take a lot of time, and don't do anything properly. One of the answers I got was ""it is antisymetric for values 1 and 0"" and they deducted my whole grade for that because I didnt specify ""It is not antisymmetric for the rest of the values"". It is honestly such a frustrating class, with the TAs making it worse than it already is. Max also wants his exams to be harder than normal, tries to throw curveballs, and if you don't know how to fully do a question, forget getting partial credit for it.",0,0,1,1,0,0,0,0,"I forgot to multiply one number in the denominator of a question, and I got a 1/4 for that,","Clear evidence supports homework heavy, time consuming."
