review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC422_025,CMSC422,Mohammad Nayeem Teli,2024,5,"I posted a midsemester review of this class back in October 2023 so this is a review for the class in Fall 2023 semester now that it's over (apologies for being a little late). My feedback for this course now is basically the same as the prior review I made. The first thing I would like to add are that the final project was a little challenging (extra credit section was interesting) and time-consuming so as always, make sure you start your projects early. Second, the final exam was cumulative and relatively similar to the practice final we got. There was also a final exam review session via Zoom, which greatly helped. This class will be challenging from a mathematical standpoint so make sure your calculus, probability, statistics & linear algebra foundation is strong. Other than that, the class was well-organized. I still recommend all students to take this class with Prof Teli.",1,0,0,1,0,0,0,1,final project was...challenging and time-consuming,"The final project was challenging and time-consuming, but the course was organized and recommended."
CMSC424_001,CMSC424,Amol Deshpande,2012,5,"Prof. Deshpande was a great professor (especially for computer science courses). He did not just stand in front of the class and read off a power point. He actually taught the concepts, sometimes with no presentation at all. When he did use a power point, it was as a visual aid and not as a crutch. For this semester, he did only quizzes (no midterm) and a final, plus homeworks. I liked the quizzes because it removed the stress of having a big midterm, however, it required you to always be caught up in the material.",0,1,0,1,0,0,0,0,quizzes...required you to always be caught up,Frequent quizzes and a final required students to stay continuously current.
CMSC430_038,CMSC430,David Van Horn,2024,3,"Professor never replied to emails. I still don't have my final grade on ELMS nor testudo, and I graduated yesterday. Also good luck finding a TA during office hours later in the semester.",0,0,0,0,0,0,1,0,still don't have my final grade,Delayed grading and unavailable support indicate poor course administration.
CMSC433_010,CMSC433,Anwar Mamat,2019,5,"I had Anwar for 433 and 330. He knows how to run a course well, curves fairly, and is generally pretty responsive to student concerns. I think he is a good standard that other UMD CS professors should hold themselves to. His slides are pretty good and his tests are fair.",0,0,0,0,0,0,0,1,curves fairly...tests are fair,The course is described as well run with fair tests and grading.
CMSC451_078,CMSC451,David Mount,2025,5,"My goat David Mount awesome class!! I thought I would fail because I am lazy but he is very generous with grading. The only thing is that HWs take too long and I wish that they could be split up into multiple. Very good class to help you think differently and become more knowledgeable on the theoretical side of CS. Not an easy class at all, but very fun!",0,0,1,1,0,0,0,1,HWs take too long,"Homework takes too long, though grading is generous and the difficult class is worthwhile."
CMSC460_003,CMSC460,Stefan Doboszczak,2022,5,"Professor Doboszczak is a great professor. As an engineering major I have taken just a few math courses throughout my degree.... and Stefan is definitely one of the best I've had. He doesn't just go over the most basic example in lecture and give you the hardest problems to solve for homework. He gives a great balance of examples and theoretical explanations and gives challenging but solvable homework problems. He gives great practice exams and plenty of additional resources to learn the material. The only downside is that he doesn't release answer keys to the practice exams. So you should work on them well before the exam so you can get assistance from him or the TA's if you're stuck. The course, though being titled computational methods, has a lot of cool information regarding the IEEE floating point standard, how computers store numbers, and how to figure out how accurate your answer can be on a given machine (single precision vs double precision). The second half of the course I found to be more challenging as it is the more theoretical mathematical concepts you see on the course description (interpolation, quadrature, differentiation, etc). I was weary to take this class after being required to take so many math courses -- but I actually enjoyed every lecture I watched because of Stefans teaching. I would 100% recommend this course to anyone that has the option to take it.",0,0,1,0,0,0,0,1,challenging but solvable homework problems,Homework is challenging but solvable with strong support and resources.
CMSC470_018,CMSC470,Sarah Wiegreffe,2026,1,"Worst prof ever. Doesn't know shit about the mod. Gives out of syllabus questions in the quiz, which btw varies from section to section.",0,1,0,0,0,0,1,0,out of syllabus questions in the quiz,Quizzes include out-of-syllabus and inconsistent section content.
INST326_001,INST326,Dimitri Wolford,2017,5,Really good teacher. He is very helpful in answering questions and he presents the material thoroughly. He grades very leniently on the quizzes and the tests. The homework assignments are fair and if you struggle he will gladly help you if you go to his office hours.,0,0,0,0,0,0,0,1,homework assignments are fair,Assignments and assessments are explicitly described as fair.
INST327_027,INST327,Pamela Duffy,2025,5,"Professor Duffy does a great job making the material easy to understand. The assignments are very educational and really reinforce what you learn. This class focuses heavily on SQL and isn’t too difficult if you stay on top of things. To succeed, make sure to watch the lecture videos, complete the quizzes before class, and follow along with the in-class code examples and skeleton files provided. Don’t hesitate to ask for help in ELMS or Piazza. Both the TA's and professors are very supportive. Additionally, shoutout to TA Angela! She is amazing and very knowledgeable, and explains concepts clearly. Each discussion is mandatory, and we start with 15 minutes to try the lab exercises on our own. After that, the TA walks through them step by step, which is super helpful. Additionally, there is a semester-long database design project. Make sure to pick a good group within your class section early on, or you’ll be placed randomly. Some parts of the project require meeting up and working on the same device, so it’s important to have a cooperative group. The project can get challenging if group members don’t pull their weight.",1,0,0,1,0,0,0,0,semester-long database design project,A semester-long group project requires sustained coordination and effort.
INST414_022,INST414,Phuong Anh Nguyen,2025,1,"I wanted to start by saying she was one of the worst professors I've ever had, but upon further reflection, she is the worst. Her course structure is unclear, no information is presented during lecture, and it has to be learned through YouTube videos she sends before class. For every class, we simply do an assignment that is due at the end of class—NO EXCEPTIONS. She doesn't provide rubrics for major assignments and then gives unhelpful feedback when you receive a lower grade than expected. Grades on assignments CANNOT be discussed during office hours or, quote, ""your office hours privilege will be revoked."" Her office hour structure is terrible, and you have to request an appointment based on a specific pretext. Most of the time, you will actually be meeting with the TAs instead of the professor. She is rude and resorts to threatening when a student has a mild disagreement and shuts down students' questions during class. Each week, we have a discussion assignment, which we aren't given enough time to complete—or you could simply do a way easier online certificate to avoid discussion altogether. This structure really discourages you from actually attending discussions and interacting with classmates. If I could go back, I'd immediately withdraw from this class, and the course content—compared to previous professors—is abysmal. Do yourself a favor: if Kem is teaching your section, reschedule and pick a different professor.",0,0,1,0,1,1,1,0,learned through YouTube videos...assignment due,"Students must learn externally while facing unclear structure, frequent assignments, and opaque grading."
INST447_004,INST447,Nekabari Sigalo,2023,4,"Easy course. Felt like taking INST126 but with more work with pandas. No challenges were met doing activities because she gives you most of the coding framework for you to modify for assignments. Learned some things about data science but didn't earn much of a learning impact as this course gives you. I used INST course projects as a way to place them into my portfolio for may employers, but I have so say the work we were given wasn't portfolio worthy or even as work heavy as work I've done in 314. Definitely feels like I'm taking a 200-300 level course.",0,0,0,0,0,0,0,0,work...wasn't...work heavy,The review explicitly describes the course as easy and not work-heavy.
MATH140_487,MATH140,Mirna Pinsky,2025,1,"Legit this account was made just for her. Lokey don’t know how she even has a one point five it should be a 0. A lot of people find her rude but that’s whatever but just her actual ability to write tests, teach the material, and answer questions is terrible. Also just to put it into perspective the normal grade with no curve on the first midterm is 60-60 percent our classes was like 30 which is an insane difference. Thankfully by luck I had the best TA Emma to save my grade.",0,1,0,0,0,1,0,0,class average was like 30,Tests were unusually difficult and produced an extremely low class average.
