review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC430_051,CMSC430,Anwar Mamat,2025,4,"He's good. Knows what he's talking about, very approachable, and genuinely wants to see students succeed. He might not come off this way though if he doesn't think you're truly interested or even paying attention, but I think that's fair. Sometimes his organization does confuse me, especially so in this class where I already a little confused to start (low level coding is my weakness). Oh, and also, he's funny. For the class, please start projects early and try to understand the concepts because it's very satisfying. I would say this class is hard, but I know a lot of people would think it's easy.",,,,,,,,,,
CMSC433_034,CMSC433,Leonidas Lampropoulos,2024,5,An excellent professor. He is very helpful and informative during office hours and he answers questions very quickly on Discord. He is very understanding and will sometimes give students additional time to complete assignments and also does a great job of explaining important concepts in class.,,,,,,,,,,
CMSC451_077,CMSC451,David Mount,2025,5,"Overall, this is an amazing class and you learn so much. It's definitely hard but definitely worthwhile to take if you're interested in designing algorithms. Mount is the absolute GOAT too. He's an incredible teacher and you can get a lot of help on the HW by simply running your approach by him. Midterm average was around a 78, but he curves at the end of the course. He also records! The only gripe I have with the course is that there are only 5 HW's, which makes each HW every time consuming and stressful. I would've preferred more HW's with less problems per HW to spread out the workload. However, I still really loved this course. It was so satisfying when I finally got a working algorithm, and I feel like I got so much better at it.",,,,,,,,,,
CMSC470_008,CMSC470,Jordan Boyd-Graber,2023,1,"This class is flipped lecture which means we watch the lecture videos on our own, and go into class to ask questions for one of the classes for the week. The other class for the week (not listed on testudo as a class/discussion time) is a workshop where we do an assignment on that week's lecture content. The content of the course is ok. It's all pertinent to the subject, and is realistic for students to learn at this level. However, the logistics for this class and it's assignments were some of the worst I've ever taken at CS at Maryland. This professor does not teach, and it feels like he does not care about this class at all. He was not present at the midterm to answer questions, and when we asked the TA's questions at the midterm, they said ""Let me ask the Professor"" and then the professor would not respond, so the TA's did their best in answering our questions for the midterm. Every homework assignment released with bugs, meaning if you wanted to start the homework early, you'd have to post on piazza about the bug, wait for the TA's to fix it, and then start again. Every homework assignment had extremally vague instructions and grading criteria spawning many questions on the piazza. These questions were often answered by complete non answers, or ""you should know this"". Might I add that the in person question sessions were not recorded, so if you could not remember what a TA/Professor said during class, there was no way to get that answer. So, if they answered a piazza question in class, you're just left hoping another student will answer it for you. In completing the homeworks, many of the lecture videos were wholly unhelpful as well. The videos are not substantial enough to teach the content to a level needed to complete the homeworks in my opinion. To complete them, I would go back to reference the lecture videos, only to realize he spent maybe a sentence or two on implementation details we need for the homework, and the rest of the video introing why this technique is important in history, or why it fell out of favor. All in all, the class felt lazy, sloppy, and an absolute nuisance to complete assignments. I strongly recommend against taking CMSC470 with this professor.",,,,,,,,,,
INST326_071,INST326,Aric Bills,2025,3,"We'll get it out of the way: he's a great guy, tries to remember everyone's name, and definitely wants people to learn. He also had a monologue at the end of class about using coding to do good in the world which I thought was very sweet. The class utilizes a flipped classroom format: you have to watch a series of videos about the subject of the week, do a small assignment due before class, then a small group assignment on Monday, Wednesday goes over content and Friday is supposed to introduce most stuff for the week. I don't dislike this format inherently, but a lot of the lectures are just repetitions of the content. Sometimes it dipped into genuinely neat material, but most of the time I walked away from class thinking ""why did I come here?"" My only answer was for the participation credits, which is never great. Exams feel a bit at cheap at times, but with four non-cumulative exams they aren't the worst thing in the world. Homeworks hold your hand a bit too much, the group project has some very strange requirements about using very specific techniques. Our group assignment was to make a game, but the scope of what a game was defined as was extremely nebulous. Besides the group project, I didn't really feel like any assignment took up an unfair amount of time, especially given that this is the MAIN programming course for InfoSci. It could've afforded to go a little further and more in-depth, but the flipped classroom format gives you the skills to look things up. Also, the comments about grades taking forever to come in is true. It's not fun not knowing where your standing is in the class, and I was almost certain of where I was. Group project felt really rushed, we straight up had multiple assignments get auto-100%'d because of how far behind on grading he was. Very excited about the material, and I still would recommend him, but he could stand to use time better in lecture/on the schedule in general, and generally have a more organized class.",,,,,,,,,,
INST327_035,INST327,Pamela Duffy,2025,1,"Absolutely terrible experience. Hannah, the TA, was consistently rude and dismissive—interrupting students mid-sentence and making it feel like asking questions was a burden. She clearly shouldn’t be in a teaching role. As for Professor Duffy, she seemed completely checked out. Grading took forever, and she even told us not to reach out to her directly—everything had to go through Hannah first, which only made things worse. The whole setup felt disorganized and honestly disrespectful to students. It seemed like they were more interested in power-tripping than actually helping us learn.",,,,,,,,,,
INST414_014,INST414,Zubin Jelveh,2023,4,"This was my favorite class of the semester. The professor is always kind, helpful, and creates a good environment in the classroom. His explanations can be convoluted at times, but the professor is always open to questions and makes an effort to reiterate difficult topics. I appreciate how he keeps assignment expectations clear and wants his students to succeed in the course.",,,,,,,,,,
INST447_003,INST447,Nekabari Sigalo,2022,5,"Her pre-recorded video lectures are very helpful. I feel like I have learned a lot from her class so far. Labs, quizzes, and programming assignments are reasonable. I have never felt like there are concept she hasn't explained that are needed on the assignments, but YMMV. Exams have also been fair. Grading does take a while which is quite irritating, although I feel like this is how most of my classes are. She provides her powerpoints which is very helpful for quizzes and exams. Did I mention everything is open note? It's wonderful.",,,,,,,,,,
MATH140_519,MATH140,Mirna Pinsky,2026,1,"You need a really good TA and previous calc knowledge if you want to pass this class. The material is actually light but because the professor is so buns, everyone basically got horrible grades for the exams, especially the first one. Don't even bother with the textbook either, it's a lot of unnecessary information just to explain a simple concept and the problems the professor chooses for the syllabus are not great either. Do the practice exams and watch Organic Chemistry Tutor videos and you'll be set, just don't go to her lectures",,,,,,,,,,
MATH141_552,MATH141,Kendall Williams,2026,4,He gets a bad rep but overall a very good guy. Just go to office hours atleast once a week and do your suggested problems. everything else falls into place.,,,,,,,,,,
