review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
BSCI160_593,BSCI160,Chloe Garfinkel,2026,5,I was amazed at how Dr. G actually helps you learn... 10/10 would highly recommend for BSCI160,0,0,0,0,0,0,0,0,,No clear workload signal.
BSCI161_030,BSCI161,Hans Lemke,2026,2,"This review doesn't have much to do with the instructor, more about BSCI161, because it's a lab and everything is run by the TA. The instructor himself seems pretty nice based off the few emails we got from him. This class is very easy, but it is actually such a waste of a time and money. Definitely try to take this class with friends which will maybe make it bearable, but I don't think I learned anything from this class because everything is common sense or things we learned in 6th grade biology. This class much more feels like something made for middle schoolers than a college course. It's actually so boring and everything just feels like busy work.",0,0,1,1,0,0,0,0,"much to do with the instructor, more about BSCI161, because it's a lab and everything is run by the TA.",The review indicates substantial homework or lab workload and significant time commitment.
BSCI170_315,BSCI170,Nicholas Fletcher,2026,3,"Casting aside my overwhelming disinterest in the subject, I can admit that Prof. Fletcher is a solid lecturer. Yet some reviewers have overlooked the flaws in his pedagogy, the exam policy, and the lopsided grading scheme. On one hand, he explains vital concepts, diagrams, and terms in an intelligible manner; on the other, he jams so much content into each session that recording notes by hand is not feasible. There are two options in this course: you can either bring a device to class or watch Panopto uploads after the fact. I can only speak for myself when I say that his quantity-over-depth approach has swayed me in favor of the latter. There is no point in attending class other than contributing to group assignments. While you receive many chances to succeed on exams (there are four in total), the other tasks barely nudge your grade in either direction, and rather than lessening the weight of your poorest exam score, he discards your worst concept check/group activity/SimuText scores instead, underscoring the fact that exams hold a staggering influence over grade calculation in this class. There is no exam curving, and you are also forbidden from using notes when taking exams. If students must be penalized, then it should be for a lack of understanding. It is quite different when students fail to recall one among countless testable pieces of information while three other courses are battling for room in their long-term storage. This unscientific closed-book policy is not specific to BSCI170, but I have to attack it whenever I see it. I neither recommend nor advise against taking this class--the positives and negatives level out. Do what you feel.",0,1,1,0,0,0,0,0,"Yet some reviewers have overlooked the flaws in his pedagogy, the exam policy, and the lopsided grading scheme.",The review indicates heavy or difficult exams and substantial homework or lab workload.
BSCI171_084,BSCI171,James Nowotny,2026,1,"Explains the actual lesson pretty well, but he is extremely condescending in tone. When you ask questions he will constantly say ""I don't know what you're trying to say"" even when explained multiple times. He kind of makes you feel dumb for even asking questions in the first place, almost as if he assumes you know everything there is to know about biology. To add to that - his explanations are also phrased in ways that make it seem like he is so much smarter than he actually is. Don't expect any feedback on assignments, he simply write 1-2 sentences and it isn't helpful whatsoever.",0,0,1,0,0,0,0,0,"Don't expect any feedback on assignments, he simply write 1-2 sentences and it isn't helpful whatsoever.",The review indicates substantial homework or lab workload.
BSCI201_121,BSCI201,Caitlin Fox,2026,1,"Her study guides are absolutely awful, they are completely inconsistent with bone charts and muscle charts so you don't know which material you should actually study - some of the diagrams are in like 480p so you it's hard to tell which part the arrow is pointing to - the whole study guide is a set of empty diagrams and questions but THERE IS NOT KEY to check if your study guide is correct or not - the diagrams are inconsistent with the ones on the slides - she wants us to memorize insertions, origins, and actions of each muscle? Ok cool, but at least give us the information so we can study. The info was NOT covered in the slides (only showed us what the definition of each term is and like 1 example) but we need to know all of them, and its super complicated with all the bone markings and stuff -- she expects you to know material but does not provide the material so you have to go find it, that's not studying, that's teaching yourself at least the games under each practical are super helpful the structure of the labs are super boring, the lectures are fine, but the hour worth of lecture we spend just looking at models on our desks is completely useless",0,0,0,0,0,0,0,0,,No clear workload signal.
BSCI202_037,BSCI202,Maira Goytia,2026,3,"She and Opoku both have their pros and cons after switching from Opoku for 201 to Goyita for 202, I would say Opoku's lectures are quite boring, not as interactive as Goyita's, and not very informative, while Goyita's lectures are too informative, if that is even a critique. The attendance in Goiyta's class is actually criminal because people would rather self-study with the lecture videos she posts than sit through the physical lecture and still be confused by how overcomplicated she explains the physiology. Her review sheets are quite vague compared to the actual exam, in my opinion. THOROUGHLY going over her lectures and slides is better. Every exam so far has had to have a curve because of our low average; Exam 2 specifically had a 30-point curve (extra credit on it), that is how bad the exam and our performance were. I still feel like it's possible to pass the class, just do A LOT of self-studying!",0,1,0,0,0,0,0,0,"Her review sheets are quite vague compared to the actual exam, in my opinion.",The review indicates heavy or difficult exams.
BSCI207_217,BSCI207,Karen Carleton,2026,4,"Took this course as a freshman which was maybe a bad idea, but the professor was great. She's very sweet and helpful, although one critique I had was that lectures kind of felt all over the place (50-60 slides, sometimes with very little correlation) and she went a little fast for me. Exams were tricky but overall pretty fair, and as long as you go to lectures (or at least actually watch the recordings) you should be ok. I got a little sloppy with my attendance towards the end and it definitely showed, but even then office hours and the TAs were all pretty helpful tools.",0,1,0,0,0,0,0,0,"Exams were tricky but overall pretty fair, and as long as you go to lectures (or at least actually watch",The review indicates heavy or difficult exams.
BSCI222_266,BSCI222,Tammatha O'Brien,2026,1,"She was such a horrible and rude professor that I’m coming back 4 years after graduation to let you know to avoid her at all costs. Her class isn’t difficult at all, it’s just bizarre that a person that lacks empathy to this level would ever consider teaching as a career path. If someone has to write an essay about the good deed they did which was just bringing granola bars before an exam that tells you all you need to know about their character.",0,1,0,0,0,0,0,0,which was just bringing granola bars before an exam that tells you all you need to know about their character.,The review indicates heavy or difficult exams.
BSCI223_095,BSCI223,Erin Tran,2025,4,"First off, she did curve the second exam after seeing how upset students were at it, and added a solid 10 points out of 150 to everyone's grade (the average was a 108/150), so I would disregard the previous reviews that are complaining about the exam. The other thing about that exam, is that the question that everyone thought was unfair was something she had explicitly stated in lecture that was going to be on the exam, so I don't understand why everyone was so upset when (surprise surprise) it did in fact end up being on the exam. I feel like everyone is hating on her and exaggerating everything out of proportion over that one exam, and each exam is only worth 15% of the class, which is much lower than your typical biology classes. In addition to curving the exam, I'm pretty sure she also adjusted the cutoffs slightly, so she clearly does care about her students doing well. Lab on the other hand is entirely dependent on how annoying your TA is, but thankfully, mine was super chill. However, I do agree with the complaints that there's too much busywork that don't teach you anything. There's so many random and lowkey pointless assignments that are probably just there to buffer your grade, so they're really time consuming for no reason. Similarly, the flipped-classroom style kind of sucks because you not only have to watch a bunch of lectures on your own time, but also have to watch her actual lectures during the normal lecture time. Overall, I don't think the class itself is that hard, I just think people weren't prepared for the amount of effort they needed to put in since a lot of people thought this was supposed to be a generic gen-ed, which personally, I would also not recommend this as an easy gen-ed. But for all the bio/pre-health kids that take this class, it's honestly a pretty easy bio class and I have no idea why they're complaining so much, but it's SO time-consuming for no reason.",0,1,1,1,0,0,0,0,"First off, she did curve the second exam after seeing how upset students were at it, and added a solid","The review indicates heavy or difficult exams, substantial homework or lab workload, and significant time commitment."
BSCI330_172,BSCI330,Kenneth Frauwirth,2026,5,"Material is interesting to learn, and exams are not difficult to study for. Just watch the lecture recordings.",0,1,0,0,0,0,0,0,"Material is interesting to learn, and exams are not difficult to study for.",The review indicates heavy or difficult exams.
