review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
MATH411_012,MATH411,Matei Machedon,2019,4,He explained the concepts pretty well and his exams were similar to practice problems and previous exams. He was helpful during office hours as well.,,,,,,,,,,
PHYS121_035,PHYS121,Wendell Hill,2020,1,"The only reason I got an A in the course is because I paid for a weekly tutor after the first exam. He taught topics that shouldn't be covered in this course. When I would attend office hours and ask for help he would make comments such as ""You should know this"" obviously I didnt because I am hear asking for you to re-explain it. It seems he has a passion for physics and wants to share that but doesn't understand how to teach lower level non-physics major courses",,,,,,,,,,
PHYS131_024,PHYS131,David Buehrle,2023,3,"Decent professor, funny guy, but average at teaching. Didn't learn anything from this class. Curve was an 82 for an A- and 88 for an A. For how low the exam scores were, the curve should've been stronger. Still, labs were so tedious and annoying, but there was no pre-lab or post-lab so lab wasn't much work outside of the actual lab timing. We got out like an hour early usually which was nice.",,,,,,,,,,
PHYS260_156,PHYS260,Aria Heidarian,2025,4,"Def one of the better teachers but PHYS260 is actually horrible lol why is it so conceptually easy but so difficult in application. Just make sure you take extra time to study, or this course is going to hurt.",,,,,,,,,,
PHYS270_044,PHYS270,Hailu Gebremariam,2024,1,"ONE OF THE WORST PROFESSORS EVER. Not only is he boring, but his lectures are composed of copied slides from somewhere else and writes messy stuff. He should be fired. I DON'T UNDERSTAND HOW HE STILL HAS A JOB.",,,,,,,,,,
STAT100_192,STAT100,Matthew Griffin,2025,1,"I am taking this class as a pre-requisite to be able to enroll in a data minor, however, I have taken 2 statistics and 1 R class prior, currently taking 2 other r classes concurrently with this one. **If you want to enroll under this professor's pedagogy for the sake of engaging with class content; don't bother.** I have received A+'s in my other stats/R classes, MUCH harder than this one. I am sitting here with a D- because I submitted something without my name on it. IN THE END, YOUR GRADE IN THIS CLASS WILL BE JUDGED BASED ON HOW WELL YOU CAN SUBMIT TO UNNECESSARY MICROMANAGEMENT. From the policing environment, counting you as absent to ""lecture"", if you show up 5 minutes late, to him assigning other undergrads to police you to make sure you're following the lecture (one of them snapped their finger at me to point me in the direction of my seat during a test), to him using lecture time to treat every class like syllabus week, and for him pausing to tell students to stop talking, remove hoodies, take out earbuds, etc. etc. this class is pretty insufferable. I have been marked absent because I got up to use the restroom, and had activities marked as ""0"" for days I were there. The professor was mostly kind to me personally, and understanding, and expressed a willingness to work with me, but would not budge on grades. I cannot imagine the experience for students who weren't on this professor's ""good side"". You will do problem sets on R studio, and if you know anything about R studio (in the console, not the environment), you will NOT be able to backspace and redo a command line once you generate. I've had to pick and comb through and redo all of the problem sets, often 3,4,5, times, just because of the absurd amount of extraneous instructions, such as exactly how you should title your graphs, and putting your name in each and every command line. They claim this prevents academic integrity violation, but this makes no sense. In my other R classes, let alone ANY college class, I've never had 30% of my grade docked because I didn't put my name on anything. I had put my names in the command codes, but because I missed the instruction once or twice, I had most of my grade shaved off. **I would have gotten 100%s otherwise**. You are paying THEM for your education. Enroll in classes with professors who reflect that dynamic. Don't play other people's stupid games to win their stupid prizes.",,,,,,,,,,
STAT400_430,STAT400,Jonathan Fernandes,2025,3,"Outside of the (outstanding) help from weekly discussions with my TA, I had to self-learn this course entirely. My main gripe with this class is the lack of materials. There's a textbook that isn't particularly helpful, as it just goes over theory, and some videos that dictate that textbook. Outside of your TA, you're left with nothing to finish the weekly homework. Although he provides lots of practice questions for exams, they come with no answer keys or worked solutions, making them essentially useless. Even worse, Fernandes often promises worked-out solutions, but rarely delivers. When he did deliver, he had done only a few problems in the margins the night before the exam, some with glaring errors. Worked-out solutions are never given for the homework problems after they have been graded, so if you make a mistake, you're left to figure out how to solve it correctly on your own. Although theory is taught, how to approach and complete problems similar to the ones on the homework, quizzes, and exams is not covered enough. The saving grace of this class is that the exams are pretty easy and there are a ton of curves. If you're able to self-learn concepts well enough so that you can do any of the homework, quizzes, or practice problems, you'll end up with a 90+ on all midterms and the final. All homework and quizzes above a 92 were rounded to a 100, and the lowest midterm was replaced by the final if you did better on the final. The overall grade or final was also likely curved.",,,,,,,,,,
STAT401_036,STAT401,Hatice Sahinoglu,2023,3,"The lectures in this class focused heavily on proving why things worked, which was not really tested on so that was annoying. If you come to class consistently then the material isn't too bad and you should be able to do well. There was a curve for this class because most didn't do too well on the tests.",,,,,,,,,,
STAT410_076,STAT410,Sana Jahedi,2024,5,"I write this review to set the record straight with this professor and this class. I am no genius by any means, however the reviews below me are being unfair and taking things out of context. 1. Organization It is true that this semester Sana has been a bit disorganized and I don't think she is proud of it either. She is incredibly busy herself and has had a ton of personal (career-related) matter to tend to. But in absolutely no way has this disorganization negatively impacted anyone's grade. I mean yeah I was a little stressed at times, but she always ends up compensating for it by extending deadlines or pushing topics to the next exam instead of an upcoming one. 2. That One Homework Problem Set This is a more theoretical STAT400 and everyone taking this class knew it going into it. You can't complain about getting assigned difficult homework as a result. They're not long homeworks but the problems themselves can be quite difficult sometimes I will admit. And the homework set that was deemed 'too difficult' by Sana, ended up being bonus points for every question you correctly answered. 3. Second Midterm If you went to class and did very poorly you must not be telling the entire truth. Sana mentioned in class that we would have a question for solving variance with covariance while we were doing that exact kind of question on the board. The day before the midterm, she did another practice problem solving variance with covariance. So on the day of exam, we have two of those questions, one generalized with variables and one with numbers. Those should have been free questions, as Sana intended. You simply regurgitate exactly what had been written in our class notes on that topic which are posted. We had 5 questions. One was very easy, truly. The two covariance problems we had seen exact one to one copies of those questions beforehand. And two questions were 'new'. Had you gotten the first three I mentioned, you would have baseline 50%. And most people should have been able to get some partial on the last two, bringing your grade to around an 80% if not better. It should be doable in class time but she allowed us to have up to almost 3 hours I believe. That is more of a luxury in my opinion, though some people may see it differently. Sana is not at all unreasonable. She's an incredibly sweet person and does not want anyone to fail. She wants us students to succeed but she also wants us to put in effort to study as well. In my opinion, if you want to take a more theoretical statistics class, then you should be prepared to spend some extra time on difficult problems. There is just no way around that as much as I dislike it as well sometimes. And no, these are not grad level questions lol. I think she takes some of the *more reasonable* questions from Harvard and/or MIT's first course in probability.",,,,,,,,,,
STAT430_005,STAT430,Benjamin Kedem,2011,2,"You really don't get much about SAS in his class. He is funny guy and you don't feel bored at his class, but actually he doesn't teach you SAS. Instead he takes time of class with many complicated and big formulas that it's not really necessary to know to be a SAS professional. He calls it ""wisdom behind SAS"", but actually he is teaching what he really knows (statistics theory), not SAS! and he gives questions about them at final exam, although he says that he doesn't ask about them. I agree with other people that he really doesn't answer you question about software.",,,,,,,,,,
BSCI160_551,BSCI160,Chloe Garfinkel,2025,1,"The exams are way too difficult for a 100-level course. This class is structured in a way that makes getting an A 10 times harder than it should be, especially with no curve. This class shouldn’t be the Hunger Games.",,,,,,,,,,
BSCI170_273,BSCI170,Cordelia Weiss,2025,5,"Professor Weiss feels like the professor who helps a recent high school graduate transition to college. She acknowledges that not everyone is a biology scientist and explains concepts several times for people to understand. She is also funny, gives a ""sassy aunt vibe"", which helps keep the class engaging. I have sat through class with other BSCI professors, and she was definitely the most entertaining one. The exams also seemed to correspond with the lecture concepts for the most part. Studying will get you a 90% guarantee. Nice bonus, she records all of her lectures. I wouldn't skip, though, considering there are participation points.",,,,,,,,,,
BSCI171_041,BSCI171,Swarna Mohan,2024,1,This professor was not lenient at all. She is a trash grader. DO NOT TAKE HER CLASS.,,,,,,,,,,
BSCI201_078,BSCI201,Justicia Opoku-Edusei,2024,5,"BEWARE: this is a heavy load of content class. Be sure to take this class with a light workload in majority of the other classes because you will need to dedicate a lot of time in studying for the course to earn an A. The practice exams resemble the actual exams so focus on those the most alongside just basically memorizing all the slides. It’s nice how she explicitly mentions what certain types of questions or just straight up questions that she would put on her exams (easy points). She does a decent amount of extra credit, and for this semester, she curved.",,,,,,,,,,
BSCI207_174,BSCI207,Nicholas Fletcher,2025,5,"Fletcher is a solid professor and is very friendly and open to questions during office hours. All lectures are recorded and he posts the slides on Canvas. There are 3 exams that cover the first 3 units and the final exam which is cumulative. He splits the exams 50/50 with multiple choice and short answer. Overall, the exams are fair as the questions come in a very similar format to other assignments. These assignments consist of homework, concept checks, and GAEs (group classwork). Homework and GAEs are graded for completion and concepts checks have multiple attempts. I recommend completing all these as they make studying a lot easier and he drops the lowest for each assignment type including the lowest of the 3 exams. He also posts exam guides which contains questions that are on the exam itself. <2 hr work per week outside of class besides studying. Course content is well organized but also very broad. Great professor overall and I would recommend him for 207.",,,,,,,,,,
BSCI222_225,BSCI222,Claudia Silva Aldana,2025,5,"If you are about to complain about Dr. Silva because you are not able to put in the literal 1 hour of prep before the exam (that's all you need for an A), then just drop out you wont get anywhere with that attitude. Dr. Silva is a very kind thoughtful professor she provides numerous resources for success in the course. If you can't handle BSCI222- drop out, it's not the professors fault, it's your fault you're the one whos incompetent. acidentally one start so im posting twice to reinstate her review starts increase.",,,,,,,,,,
BSCI223_054,BSCI223,Erin Tran,2024,4,The flipped classroom is actually really nice and helpful if you can hold yourself accountable to watch the videos on time. She has a great way of explaining concepts without overwhelming you with unnecessary information. The videos made it really easy for me to digest the information. Exams were also extremely fair and pretty easy. You just need to go to class and participate in the clicker questions. (I just hate that they made us pay for it lol) Only thing I didn't like about this class was how rushed the labs felt. We were expected to do a lot within a short time and that wasn't it.,,,,,,,,,,
BSCI330_130,BSCI330,Kenneth Frauwirth,2024,2,"Frauwirth is an okay professor. He knows his material very well and is very well-spoken. He also has lots of opportunities to gain more points with his TopHat questions and weekly quizzes. His exams are a bit hard but I would say just go through the lectures and know the concepts. Also, for the readings, please do not do them. They are a waste of God-given time. I was doing them the first week of school and they did absolutely nothing for me. He also has never smiled a day In his life. He is chronically upset all the time and a bit creepy if you ask me. Other than that, he's an okay guy. Also, he is always late. One time he arrived late to an exam that he pushed up and then canceled the exam by sending an announcement and moving it to the day that he had originally planned it for in the syllabus. What an interesting man.",,,,,,,,,,
BSCI353_007,BSCI353,Chan Lin,2021,5,"fair, obviously cares about teaching, reasonable, flexible, communicative, knows what he's talking about. What's not to like?",,,,,,,,,,
BSCI410_083,BSCI410,Louisa Wu,2024,5,"This is a very interesting course! Dr. Wu incorporates a lot of real-world connections/applications. Although there is a lot of material covered, the exams are open-note and have built-in extra points. She is also a very understanding teacher and will work with you to help you do well. There are also a lot of extra credit opportunities!",,,,,,,,,,
CHEM131_497,CHEM131,Lee Friedman,2025,2,"I am a non stem major who took this course for the gened since I switched in late. So as a moral masochist, this sucks. Learned more from the homeworks and practice exams than his class. Only reason I did good was because I am proficient with math. It's possible, but if you are buns with math, good luck.",,,,,,,,,,
CHEM132_048,CHEM132,Christiana Guest,2024,1,"Most disorganized professor at UMD. It is embarrassing that UMD selected her as the lab coordinator out of all the other options. Pre-labs are never posted until the day before lab. In the lab, TAs have told us to lie about our numbers and alter them to the outcomes they were supposed to be. Wearing lab safety gear is also never enforced.",,,,,,,,,,
CHEM135_406,CHEM135,Andrei Vedernikov,2025,3,"This professor does a lot really good: Exams are the same as the practice exams (even the final), slides are posted on ELMS and include almost all of the information you need for the class, there's homework forgiveness so your worse 3 scores don't count. He also provides clear instruction on what is and isn't on each exam. He also does a lot that isn't the best: Makes you pay for a $30 dollar app, requires you to memorize a lot, tests include minimal partial credit, he can be hard to hear during lectures and there's a lot of homework. The reality is chem is going to be an annoying class. This professor has a lot of excellent traits, but also a few things to consider before taking his class. For me personally out of the current 135 professors I am aware of this would be one of the top picks for me.",,,,,,,,,,
CHEM231_398,CHEM231,Bonnie Dixon,2025,1,"Worst professor ever to walk on this planet. She strongly plays favoritism and doesn't care about the students at all. Even in class, she will have full conversations with students that she has picked and will dismiss certain students when they have questions. She makes the content as hard as possible, and I'm still traumatized by this professor. She always says her Jewish grandma was mean, but I can confidently say the apple didn't fall far from the tree. Run away and never look back!!!!!!!!",,,,,,,,,,
CHEM232_038,CHEM232,Monique Koppel,2024,3,"Everything was graded quite harshly. Also, I never met Koppel which is typical for a lab course but she was not helpful in any way. The TAs are your lifeline in this class.",,,,,,,,,,
CHEM241_230,CHEM241,Bonnie Dixon,2025,2,"Okay, here's the tea sis: Dixon is bipolar, low key. Sometimes she's the smartest and most supportive teacher ever and other times she's downright mean and definitely plays favorites. I have never wanted to drop out more than when I got my exam grades back from Dixon and saw almost zero partial credit and Xs upons Xs. I took 20 credits this semester and the 17 other credits I took were the only reason I haven't 1) offed myself yet and 2) tanked my gpa so much that I complete the action that I was thinking about in 1 Pros: Her office hours are for hours almost everyday and she can be supportive/crack a few jokes She cracks a few jokes throughout lecture She has Chemistry At Night (CAN) which is another lecture that you can basically log onto in Zoom at night She has extra credit points and the exams usually has extra points She has a pretty generous curve (a 55% is a C) She also had a duck race that gave us 5 extra points at the end of the semester Cons: My class was 75 minutes long, she gave us 55 minutes for exams… why in the world would you give us a 6+ page exam and only 55 minutes in a 75 minute class Sometimes she doesn’t teach a chunk of the homework content until the day before the homework is due, her homeworks are so difficult that she genuinely doesn’t care if you try to “cheat” because it’s uncheatable Her lectures are sometimes rushed and she speaks very quickly (sometimes she forgets to upload notes as well, so if you missed something, you're screwed) We had (basic) biochemistry in our orgo 2 final CAN closes on the dot, so if you're a minute late you can't get in and you'll have to listen to the recordings There’s almost no partial credit, you have to get everything right to the T Her office is always packed and sometimes it took 30-45 minutes of waiting in line to ask her a single question and her answers are vague/sometimes just straight-up incorrect (she's also very busy with 600+ students so there's that) She can be condescending and rude. People here will say that she’s just blunt. As a blunt person myself, I wouldn’t say half the things she said to me over a few questions when I was confused about the more difficult concepts. Look, she's really not terrible if you're good at chemistry and willing to devote at least 40 hours a week to practice. She really expects you to know orgo 1 at a phd level for orgo 2 so I felt like I was playing catch-up all semester. I was putting in more time for this class than my 17 other credits COMBINED and I still don't know if I passed and that's very scary. If you can take a challenge/you like chemistry, go for it. She's very smart and she'd be happy to entertain you, but you just wanna survive/you did bad in Orgo 1... maybe rethink your options.",,,,,,,,,,
CHEM271_202,CHEM271,Alice Mignerey,2025,5,"Honestly, she's not as bad as some of the reviews suggest. While she can be a bit disorganized, she clearly outlines what you need to know for the exams and how to approach the homework problems. The lectures focus more on problem-solving than on theory, which I actually prefer. The TA is also very helpful if you need additional explanation or support. I mostly self-studied and was able to get an A. If you’re looking for in-depth explanations of theory and concepts, she might not be the best fit. But if you’re comfortable with self-studying, this class can work well for you.",,,,,,,,,,
CHEM272_015,CHEM272,Amanda Schech,2021,5,"I had her in both CHEM131 and 272 and she's definitely one of my favorite chem professors. She's really engaging and approachable. Her exams were fair in my opinion and, for 131, they reflected the lecture and practice exams well (but not the homework, which just seemed to not really connect with the class at all). She does tend to talk quickly during in person lectures so I'd recommend recording them if you're someone that can't take notes quickly. For 272, she translated the course really well online and offered a lot of videos to help us understand the content. Her grading policies are also pretty on par with the rest of the chem professors.",,,,,,,,,,
CMSC131_386,CMSC131,Meenakshi Rama Subramanian,2025,5,"HANDS DOWN BEST TA EVER. Although her name is long, she is a great TA. She is really great at explaining concepts with these amazing gel pens. Every time I feel the notes I get the knowledge. She is very intelligent and makes a great ta. SCOOOOOTER on Meena!",,,,,,,,,,
CMSC132_444,CMSC132,Pedram Sadeghian,2025,5,"I had Pedram for both 131 and 132 and he did a good job for both. He is very organized, explains things clearly and focused, records his lectures, and his slides are generally very helpful. Also there are no surprises with assignments as he gives a heads up about every assignment. His projects and exams are definitely on the challenging side but I think they are overall pretty fair and you just need to be able to think logically/conceptually for the exams and rewatch lecture videos for the projects. Pedram was also very accommodating when he saw a lot of people didn't do well on an exam so he boosted the weight of the projects and also made 2 quizzes asynchronous easy 100's that you could complete in 10 minutes. Also he made the last midterm and the final lowkey a breeze. The TAs are pretty good too and they make Kahoots before every exam which are excellent review and usually have some good hints for what is on the exam. I have definitely seen that Pedram has become less monotonous than he was last semester in CMSC131. Although still not the most entertaining lecturer, I can see his spirit and personality coming out a bit, and he keeps his lectures focused and understandable. I think the reason why people don't do well in this class and complain is because they don't commit enough time to truly learn the concepts, don't go to lecture and then catch up on all the videos right before the exam, and also realize that he is testing your ability to apply the concepts instead of just asking you straight up what the concepts are. My advice is to watch the lecture videos a few times if you don't understand something, and also Youtube videos about the algorithms were so helpful. Overall, I have no major complaints about Pedram and I would definitely recommend him if you're willing to truly learn and do work.",,,,,,,,,,
CMSC216_409,CMSC216,Christopher Kauffman,2024,5,"Kauffman is an amazing CS professor. I would 100% recommend taking him. That being said, here is how his class works: Lectures are 75-minutes, he records everything, but it is still helpful to attend since he is a good lecturer and he takes a lot of questions during lecture. Each time you ask a question, it counts as extra credit. Discussions are pretty much free. We are required to complete at least 10 labs for the course (there are 12 labs in total). The TA will pretty much give the answers to the lab in discussion and you're allowed to collaborate with others on it. On top of that, close to project deadlines, discussions are converted to extra office hours which can be pretty helpful. It is really easy to get a 100% on every homework since it gives you the option to submit each question and the entire form. After every question, it tells you whether or not your answer was right, and you can keep resubmitting until you get all questions right. The projects are very long and difficult. Start early cause office hours (located on the 4th floor of A.V. Williams for some reason) fills up very fast and it can be either very hard or not possible to get help around the project deadline. In terms of difficulty, I found projects 1, 3, and 5 to be the most time consuming. Project 3 was both the most difficult and time consuming since it was the assembly project. The late penalty is very lenient, so there not much of problem with turning them in late. The exams are open note, but they can be quite hard. Rather than focusing on memorizing random things, they try to test big picture concepts and your ability to understand and apply them to sample programs given. There is no multiple choice, only short answer and coding questions. Furthermore, the exams can be a time crunch since almost all questions need a detailed response, so it's very easy to run out of time if you don't manage it on the exam. Despite how hard the projects and exams can be I still recommend taking Kauffman since he is a great teacher, a really nice and helpful person, and you will learn a lot of useful concepts from his class.",,,,,,,,,,
CMSC250_459,CMSC250,Fawzi Emad,2025,5,"Every recent review was written by overly emotional freshmen that thought CS is just writing while loops in Java for 4 years and finding the perfect VSCode theme until you get a 160k job offer at Google. This class is fine, a B or above is easily attainable if you can do the bare minimum of being able to think for yourself, write proofs, and plug in basic probability formulas. Sincerely, a current junior.",,,,,,,,,,
CMSC320_174,CMSC320,Maksym Morawski,2025,3,"Simply put, Max is a data scientist, not a professor, though students call him that (he's an instructor). This might be why he doesn't organize or structure the class like a traditional college course. He says himself, the real world is messy, and maybe he's trying to give us a taste of that by ""accidentally"" forgetting slides, putting wrong links on recaps, or misstating final exam times, among other small things. The disorganization was pretty high. It makes you wonder if this is intentional or if he's just forgetful, like when he leaves comments on old slides to fix them but then just patches them up on the fly in lecture. This extends to the TAs. He delegates all grading to them, so exams don't get graded until the last few weeks, maybe even the week of finals, which is no excuse. I didn't really go to office hours, so maybe they're more active or helpful there. But from what I saw on Piazza and heard in the group chat, the TAs weren't generally all that helpful, with mostly just one person, usually the Head TA, doing all the visible work like answering questions. Other TAs might cancel office hours frequently (like one TA did 13 out of 15 weeks). Regarding the course material itself, the slides are often intentionally barebones, meant to supplement him speaking. The readings are long online articles, mostly for exposure and getting into a data science headspace; they don't come up much on exams but are fair game, maybe for a question like ""design an experiment"" or ""name 3 considerations."" You often don't need the specific reading to answer, but they can help. The assignments, called ""homework"" but really more like projects, are where this course gets good, especially if you're into data science/ML. He'll give you a single page with minimal directions and some data, and you have to find something interesting, use ML evaluation, make slides with not too much content, and create polished visuals. I think CS needs more of these realistic projects that force you to look stuff up. The most learning by far comes from these open-ended assignments and the exams. The exams are the most open-ended I've taken in CS. They're not multiple choice, no algorithm tracing, no complex math, just open-ended questions that force critical thinking. You will need to know Python, specifically Pandas. Documentation might be provided, but you need to understand what to use, which you learn from the homework. You'll learn a lot if you spend time on the homework and study for the open-endedness of the exams.",,,,,,,,,,
CMSC330_217,CMSC330,Cliff Bakalian,2024,5,"Pros: - The lectures were informative, substantive with both slideshows and coding demoes. I thought discussions were a great way to practice the material. - The interactive exercises that TAs and the professors coded that were listed on the class website were great (e.g., lambda calculus, nfa to dfa). - The practice exams and quizzes were also very helpful. - The lecture quizzes and discussion quizzes also made sure I was prepared. - The projects also were generally very good, especially making me think with the secret tests - TAs are very very helpful at helping me think about the problem and push me in the right direction without giving me the answer, and just explaining concepts in general. - Office hours are very efficient. He uses Quuly which is an app for managing office hours without needing a whiteboard or just trying to figure out who's a TA and who's a student. It tells you the expected wait time and options for both virtual and in-person office hours. I would highly recommend going to office hours on days other than the 2 days before the project, because then you'll get attention almost immediately. Basically the course is very well-structured, grading is very fair, content is very interesting and valuable, course load is very manageable for a hard-working student, and lectures are self-contained (meaning you don't really need to learn the content outside the class). You won't go wrong with Cliff, he's a great lecturer, runs a great class, and I would highly recommend. That said, this was my hardest class of the semester and the most significant amount of time. But that's just me. Cons: - Personally, I thought Cliff's public speaking needs improvement. He paces and has lots of vocal fillers. Sometimes he talks in a tone that makes him sound bored or frustrated. But none of this actually matters. - Sometimes he runs into errors during his coding demoes in lecture and wastes time debugging which he should have done before lecture. I think it's unprofessional - Most of the time when I failed a test in a project it was because the project instructions didn't specify what I needed to do in that case, so I had to go to office hours to figure it out. But that didn't take much time. - Too many times he finished lecture early. I think if I added all of that time together, we could have fit in at least 1 or 2 more lectures with more content. I am strongly opposed to classes ending earlier than the schedule.",,,,,,,,,,
