review_id,course_id,review_text,rating,professor,date,source
CMSC131_445,CMSC131,Very kind professor who will always be willing to work with you to help you succeed.,5,Elias Gonzalez,2026-04-09T22:01:40.125578Z,PlanetTerp
CMSC131_444,CMSC131,I love this man his lectures are a bit boring but he explains concepts so well and he is so enthusiastic and cute and awwwwwwwwww. Also he tells you exactly whats on the quizzes and exams and if you practice with the previous exams you will do well. pedram is the goat and i love this guy so much im taking him for 132.,5,Pedram Sadeghian,2026-03-09T18:49:39.662580Z,PlanetTerp
CMSC131_443,CMSC131,"Pedram Sadeghian, my goat. 

I enrolled in this class thinking it would simply satisfy a requirement. Silly me. What I actually signed up for was a spiritual awakening disguised as a computer science course.

Lectures? Cinematic. So good that my Physics friend understood data structures just by looking at this man’s beautiful smile. His voice? Soothing. He can put anyone to sleep in just 2 minutes. Somehow he takes topics that look like alphabet soup in the textbook and presents them like they’re the most obvious, natural things in the world. You leave class thinking that was so easy! Then you open his projects and past quizzes and realise that .

Sadeghian has this supernatural ability to make all his students feel like Batman. Because his quizzes and exams let his students unlock a new level of insomnia! At one point I’m pretty sure my laptop battery learned more from lectures than I did. I tested this by leaving my notes open next to the pipe that's leaking in La Plata, it’s now compiling code independently.   

If you are looking for an easy A? Run away. If you are looking for new ways to torture yourself that even guatemala hasnt invented yet

Also he's really hot and his shiny bald head WILL distract you during exams.",5,Pedram Sadeghian,2026-02-21T00:31:07.032041Z,PlanetTerp
CMSC131_442,CMSC131,Just learned that this goat made the website. unsung UMD hero,5,Jonathan Saewitz,2026-02-18T01:32:54.316126Z,PlanetTerp
CMSC131_441,CMSC131,GENUINELY the best best best TA ever. Went above and beyond to explain concepts I didn't understand. She gave me confidence and made me feel so much better about the class.,5,Erica Metheny,2026-02-08T03:23:01.573632Z,PlanetTerp
CMSC131_440,CMSC131,"Really bad, would not recommend you take her as your professor. Her lectures don't teach you anything at all, she will barley glance over topics and put them on the exam. 100% of the material will be self taught, and she often makes mistakes explaining things in class. The projects are not hard, however the exams require you to thoroughly learn the material on your own.",1,Nora Burkhauser,2026-02-06T23:27:10.736328Z,PlanetTerp
CMSC131_439,CMSC131,"3.5 stars, genuinely she isn't as bad as people say. 

Honestly, I feel her reviews are a little too harsh. Her slides are pretty basic, but (most) the material is very similar to AP CSA, where there is a LOT of review material online on. I think Nora is incredibly nice, and her TAs were helpful in holding review sessions, but I do agree that she is not the best person to explain every concept in a way that sticks and is thorough. I think navigating Nora's 131 is knowing your resources and practicing, which seems like a lot but once you get a routine it truly isn't hard, I promise. I did the projects early on and diligently, watched YT videos for concepts that were difficult, used ChatGPT to generate quick intuitive notes to read and some practice questions. Note: CHATGPT IS NOT FOR PROJECTS, THAT WOULD ONLY BE CHEATING YOURSELF, lots of projects had high averages and the exams... not so much, please use those projects to your advantage and study productively so you aren't cramming and barely practicing. She did not curve the exams but they were pretty similar to the practice test/question bank she gave out. Exam 2 was a little more challenging in that sense but if you understood the lecture, wasn't too crazy in difficulty and you could piece the difficult questions together. The final had a couple challenging questions but nothing too wild. What to really emphasis in your study is PRACTICE, that's the only way to learn how to intuitively code in this course and beyond. Lastly, her lectures. Mixed feelings about this. Her lectures were really boring and I could almost swear half the class was doing something else. But if you needed to revisit, she had them recorded. I honestly felt, even though I didn't pay much attention, the general idea sank in and then I self studied later. Looking back, I wish I paid attention so I could save some time, haha, but self studying using the slides and online resources got the job done. That being said, I do have solidly decent prior Java experience so it wasn't all that foreign to me. If you have never coded before, this could be a steep learning curve, but in that case just power through the boring 50 minute lecture, genuinely try your best to understand+practice, and you should be alright, believe in yourself :) 

TLDR: If you end up with Nora, it's not the worst. Make a diligent self-study schedule, stick to it, and practice using her material. utilize all possible resources. you will achieve your goals. 

ALL THE BEST",3,Nora Burkhauser,2026-01-04T06:31:03.436927Z,PlanetTerp
CMSC131_438,CMSC131,"Overall great guy and a chill professor. The class has a ton of work, but he provides so many resources to study. Make sure to review old topics for each exam so your coding stays up to date. he records lectures and is extremely nice.",5,Elias Gonzalez,2025-12-29T16:47:44.169820Z,PlanetTerp
CMSC131_437,CMSC131,"Prof Aaron is a kind and funny guy. But if you come into this class with zero CS knowledge, you're cooked. What he goes over in lecture and teaches is NOTHING like his midterms. He gives past exams/practice exams, but again NOTHING like the midterms, so it's like you're wasting your time doing them. Whereas other professors make their midterms fair and based on the class material. He is also VERY slow with grading, and it's often impossible to know what you have in the class until the very end, and there's no way of predicting your grade cause he doesn't post all the assignments on Canvas. I highly recommend taking a different professor if you do not have background Java knowledge, because this class was insane. If you do end up having to take him, please go to office hours and do not fall behind. My TA helped me a lot, and I wouldn't have ended up with the grade I wanted without her. However, I am still giving him 3 stars because he was nice enough to round my 92.36 to a 93.",3,Aaron Kyei-asare,2025-12-28T17:32:09.403504Z,PlanetTerp
CMSC131_436,CMSC131,"Teaching & Materials: He is a good professor in terms of giving the content clearly and having a lot of recordings, slides, and practice to look at during the lectures and discussions. However, he was a bit monotone so every lecture I attended kind of went in one ear and out the other.
Content Difficulty & Background: The content really was not that bad at all, but I didn’t take CSA in high school so I think seeing this for the first time might be the reason why a lot of people do poorly.
Exams: The exams throughout the semester were fair for me, but I thought the final was much more difficult than the exams we saw during the year.
Study Advice: Overall, I recommend reading through slides and watching through lectures to review. Practice exams/quizzes were way easier than the actual exams, so lowkey just focus on understanding the content, syntax, and definitions more than memorizing what’s on the practice exams because those concepts probably won’t be what’s on your actual exam.
Overall Experience: I am taking him for 132 too, so I had a pretty good experience!",4,Pedram Sadeghian,2025-12-26T03:06:33.627344Z,PlanetTerp
