excerpt_id,review_id,course_id,professor,review_excerpt,rating,expected_grade,date,review_year,is_recent,evidence_weight,source
CMSC216_476_E01,CMSC216_476,CMSC216,Christopher Kauffman,"On one project, he mass accused and penalized 15% of the class for cheating using compiler-generated code or AI because they used an ""advanced"" command, even though it was listed in the class slides, project rubric, project description, textbook, and an approved linked webpage on his course site.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E02,CMSC216_476,CMSC216,Christopher Kauffman,"He also said we could reference compiler-generated code for the project and even bring AI-generated notes and content to exams, which makes it really unclear about what’s actually allowed.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E03,CMSC216_476,CMSC216,Christopher Kauffman,He originally accused even more students for the same issue until realizing he had accidentally included a non-project-related file in his checker.,2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E04,CMSC216_476,CMSC216,Christopher Kauffman,"He said he had high confidence in the accusation, and offered a 0 to those accused on the project (~2% overall grade reduction) or a one-on-one interview process where success would lead to a regrade request and failure results in a XF recommendation to OSC.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E05,CMSC216_476,CMSC216,Christopher Kauffman,"Either way, Kauffman later wrote in a post that he ""was never once convinced of a student's innocence during an interview"" and those who were let go only had ""plausible deniability."" The process was extremely stressful and lacked transparency.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E06,CMSC216_476,CMSC216,Christopher Kauffman,"His passive aggressive comments about not giving extra credit on later projects because of the cheating cases and verbal/written rants about ""cheating"" students devaluing the CS degree before any of the cases were even resolved made the class feel toxic, distrustful, and stressful like everyone was constantly under suspicion.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_476_E07,CMSC216_476,CMSC216,Christopher Kauffman,"On top of the difficult content, the threat of being accused and kicked out of the major over one or two lines of code on a project that is flagged as suspicious could seriously impact anyone’s mental health.",2,,2026-02-26T02:00:03.698515Z,2026,1,1.0,PlanetTerp
CMSC216_474_E01,CMSC216_474,CMSC216,Christopher Kauffman,"All lectures are recorded, exams are graded fairly, labs encourage group work and actual learning.",5,,2026-01-20T01:27:46.447116Z,2026,1,1.0,PlanetTerp
CMSC216_473_E01,CMSC216_473,CMSC216,Christopher Kauffman,"Each topic is explained in great detail, there is a ton of resources provided outside of lecture to study and review.",5,,2026-01-05T17:31:21.106614Z,2026,1,1.0,PlanetTerp
CMSC216_473_E02,CMSC216_473,CMSC216,Christopher Kauffman,"The course itself is also quite fun, but can be challenging.",5,,2026-01-05T17:31:21.106614Z,2026,1,1.0,PlanetTerp
CMSC216_473_E03,CMSC216_473,CMSC216,Christopher Kauffman,Also open note midterms and final is pretty great.,5,,2026-01-05T17:31:21.106614Z,2026,1,1.0,PlanetTerp
CMSC216_472_E01,CMSC216_472,CMSC216,Ilchul Yoon,"I barely scraped by and ended with a 73% which resulted in a C, even after always scoring below the average on all his exams and quizzes.",3,,2025-12-29T02:28:06.888012Z,2025,1,1.0,PlanetTerp
CMSC216_472_E02,CMSC216_472,CMSC216,Ilchul Yoon,"The way that the course was structured, at least when I took his class, was set up in a way that the projects and exercises made up a substantial part of the overall course grade.",3,,2025-12-29T02:28:06.888012Z,2025,1,1.0,PlanetTerp
CMSC216_472_E03,CMSC216_472,CMSC216,Ilchul Yoon,Lab works also made up a small but considerable percentage that can boost your grade by the time finals come around.,3,,2025-12-29T02:28:06.888012Z,2025,1,1.0,PlanetTerp
CMSC216_472_E04,CMSC216_472,CMSC216,Ilchul Yoon,"If I am not mistaken at the beginning of the course, he acknowledged that his exams and quizzes were known to be difficult, but that as long as you completed the projects and exercises on time and tried your best in exams and quizzes you were going to be okay.",3,,2025-12-29T02:28:06.888012Z,2025,1,1.0,PlanetTerp
