review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC131_445,CMSC131,Elias Gonzalez,2026,5,Very kind professor who will always be willing to work with you to help you succeed.,,,,,,,,,,
CMSC132_498,CMSC132,Nora Burkhauser,2026,1,"Awful lecturer all around. She seems like a nice lady but the lectures are so useless. Her slides doesn't teach you how to implement any of the topics which is great because her lectures are just her reading off the slides. And dont even get me started on her exams, some of the multiple choice feel like the most random facts you just have to know otherwise you will get 100% surprised suplexed by them during the exam. The exams are also ridiculously long, like you'd be lucky to write something down for all the questions in just 50 minutes. Projects were fine and I guess the only upside to her class is how generous she is in terms of assignments dropped. Only top 3 labs, top 5 quizzes are counted and one project is dropped. But even with all that you'd be better off choosing a professor who can actually lecture.",,,,,,,,,,
CMSC216_471,CMSC216,Christopher Kauffman,2025,5,"He teaches pretty well, you come out of the class with a good understanding of 216 content. The worst part about this class are the projects, they're long and hard, start early. Tons of people get caught using GPT for the projects, but he's talked about somehow implementing it for future semesters to be more AI friendly/accommodating. Final Grade average: 85.58 Final Grade median: 87.79",,,,,,,,,,
CMSC250_523,CMSC250,Fawzi Emad,2025,5,Very good lecturer. The negative reviews are just people coping. His expectations for the most part are reasonable for a proof writing class and the few times they're not it's not really a big deal; his rules aren't hard to follow. As long as you do the homework and pay attention in class to the examples you will do fine on the exams.,,,,,,,,,,
CMSC320_222,CMSC320,Maksym Morawski,2026,5,I pleasantly enjoyed his class last semester. The lectures were interesting and none of the assignments were that challenging just took some time to make sure you hit all the requirements. He also would give lots of extra credit on the homework assignments for doing just a little more than the bare minimum which helped out a lot as some of the exams were a little tricky. Overall hes a great professor and the long you do the readings and understand them before the exam the exams wont be that hard and then make sure you are actually putting effort into the homeworks and this class won't be that hard.,,,,,,,,,,
CMSC330_278,CMSC330,Cliff Bakalian,2026,1,"Listen, I’m not saying Cliff is a bad guy, but my pharmacist is about to go out of business because of him. Here is a draft of that story, punch-up comedian style. Feel free to post this on your socials—it’s got that ""relatable academic trauma"" vibe that usually does numbers. The Cure for Insomnia (Or: Why My Pharmacist Hates Cliff) I’ve been on prescription-strength melatonin for years, right? My blood is basically 40% cherry-flavored sleep aid. I thought I was a medical mystery—a man whose brain simply refused to log off. Then I met Cliff. Cliff doesn’t give lectures; he performs ""auditory anesthesia."" His voice isn’t a human voice—it’s the sound of a dial-up modem trying to connect in a rainstorm. It’s the sonic equivalent of watching beige paint dry in slow motion. Last week, I walked into Cliff’s room, he said, ""Good morning, class, let's look at the sub-sections of paragraph B,"" and I was out. I didn’t just nap; I entered a coma so deep I saw my ancestors. My Fitbit actually sent a notification to my emergency contacts because it thought I had passed away. I’ve officially cancelled my prescription. Why pay a $20 co-pay for pills when I can just sit in the back row of Cliff's class for free? He is a biological miracle. If we could bottle his energy, we could solve the world’s stress levels in a weekend, mostly because everyone would be unconscious. The only problem? Anwar. See, I actually want to pass Course 330. Anwar is the problem because he’s actually... engaging? He’s funny, he’s got energy, he makes 330 feel like a Netflix special. I’m sitting there in Anwar’s class, wide awake, learning things, and laughing. It’s disgusting. I’m actually retaining information. So now I have a system: I go to Anwar to pass the degree. I go to Cliff to achieve the deepest REM cycle known to man. If you see me sprinting from Anwar’s room to Cliff’s, don’t worry. I’m just heading to my bedroom.",,,,,,,,,,
CMSC335_046,CMSC335,Nelson Padua-Perez,2026,1,Disrespectful professor who calls students out. He also doesn't care too much about student's growth in the class. I am very dissapointed.,,,,,,,,,,
CMSC351_363,CMSC351,Clyde Kruskal,2026,1,Don't do it to yourself... Just wait the semester out until a different professor can be taken. Never seen such low averages in my life. 41% was a C- btw...,,,,,,,,,,
CMSC411_063,CMSC411,Ilchul Yoon,2026,5,"Yoon is awesome. If you enjoy learning about systems and are looking for a professor who is extremely knowledgeable and actually tries to get to know the students in his class, TAKE YOON! 90 percent of students skip lecture since its recorded, but going to class in person feels like highschool again. the class size is small (10 people ish) when everyone skips, and you get the whole class to yourself. worth the tuition and also cool guy. grading: everyone seems pretty lost in the class, but he curves everything at the end. I recommend reading the textbook, he assigns readings for each section we cover in class. The content is super interesting, I read it before going to bed.",,,,,,,,,,
CMSC412_025,CMSC412,Peter Keleher,2025,1,"He's just plain terrible. While I'm happy I took the class and I learned a great deal, none of this is thanks to Pete. He's a flat-out terrible lecturer, and doesn't seem to have much going on between the ears. The projects are helpful as an introduction to kernel development, but Pete's name is nowhere to be found on the projects, nor on GeekOS (the class's operating system). 80% of what I learned in this class was from the textbook and the projects, both of which can be found for free online. The exams are awful. They test you on almost entirely minutia rather than your true understanding of the concepts. It makes no difference in real life if you can recall the exact semantics of a file system, as documentation is more accurate than memory 100% of the time. Almost all of the points I lost in the class were from exams, and I didn't even care toward the end of the class. I ended about half a point under an A-. One of the terms we were asked to define on the exam was not on any course slides, nor in the textbook. On one occasion, Pete himself had a solution incorrect in his answer key. He also, as another reviewer has mentioned, asked ChatGPT to generate him lecture material without so much as proofreading it. This class made me realize that I'm just about done with academics, and I'm now planning to graduate early. This class is an absolute joke, and the incompetency on display here has opened my eyes to how out-of-touch college departments are. Students are paying thousands of dollars in tuition a year, and yet we receive half-assed lectures from a man with maybe one brain cell in his head. You can learn all of this online if you have the motivation. Get your piece of paper, get out, and write some free and open source software. Do some good for the world, lest you become a living zombie inhabiting the dying wasteland of a university like Peter Keleher.",,,,,,,,,,
CMSC414_094,CMSC414,Michael Marsh,2026,2,"I would only recommend this class if you have a light semester or elite ball time management skills. - Marsh uses a flipped classroom, where he demos random stuff during class and makes you watch videos on your own. The videos are far from enough to do the projects, but you can't just skip them and self study, because there's a Canvas quiz for each one. - For the first 2 projects, there's a ""follow up"" where you live code in front of a TA. The coding tasks themselves aren't too bad, but the logistics are awful. There was a period where they ran out of appointments, and various announcements from Marsh and different TAs contradicted each other. It felt like they hardly communicated with each other and didn't coordinate plans at all. - He uses ""standards-based grading,"" where grades are based on checklists of assignment statuses. For example, you need x projects at 100%, x writeups at excellent, x writeups at sufficient, etc. This made things ambiguous when you didn't match checklists perfectly and were between letter grades. FWIW, the class content is quite interesting imo and Marsh seems like a nice guy. He just has some really *creative* ideas on how to run a class.",,,,,,,,,,
CMSC420_206,CMSC420,Justin Wyss-Gallifent,2026,5,"this class is similar to the Justins 351. It's very math oriented. You will learn alot about how to take a normal binary tree and make it better in various ways to keep it lgn search, delete and insert which is actually really cool but also you need to prove it mathematically (no surprise here its Justin). No hw and multiple exams, it was 5 out of 7 (fall 26) it's really not that bad each exam is worth way less but the studying is a bit tough. Exams are just as difficult despite having more, you have 14 days until the next one so you better not fail behind. It was a stressful mid semester not because it was to difficult but you counldnt get caught lacking cause you wanted to chill to long now its Thursday. But usually only 2 data structures per exam as long as you do the practice problems and actually understand them you will be fine. make sure you always understand the how the data structure works internally and you'll get an A. You can totally also get a C if your worried about passing as well long as you practice enough.",,,,,,,,,,
