review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
STAT401_040,STAT401,Mestiyage Gunatilleka,2023,5,Exams are identical to practice exam. You get a formula sheet. Homeworks are easy. This is literally STAT400 that he teaches but a little more deeper in knowledge. The first half of the course is just STAT400 review if you took it with him. Easy peasy.,0,0,0,0,0.0,0.0,0.0,0.0,,No clear workload signal.
CMSC424_073,CMSC424,Daniel Abadi,2024,2,"Nice guy, but wow was this class hard. Gives very time consuming reading quizzes every week, which are also difficult and cover scenarios not discussed in the textbook. Lectures are solid, but are not recorded, and still do not cover every detail we need to know from the textbook. Exams have very poor averages, but come with a curve (for instance, he added 10 points to everyone's original midterm score). Gave 4 projects, 2 of which were SQL, and 2 which were based of CS courses from Berkeley. The final two projects were very time consuming, and required very thorough knowledge of the content. Overall, this course gets you to learn the content somewhat well, but at the expense of a LOT of time, stress, and possibly your GPA. If you want an easy course this is not the one.",1,1,0,1,1.0,0.0,0.0,0.0,"The final two projects were very time consuming, and required very thorough knowledge of the content.","Projects are intensive, exams or quizzes are demanding, the course requires substantial time and outside self-study is required."
MATH140_510,MATH140,Dong Quan Nguyen,2025,5,"PLEASE TAKE THIS TEACHER IF YOU WANT AN EASY A!!!!! His exams are VERY easy since he give you ""practice exams"" before the real exams and only switches some of the number around. There are 4 midterms and the final and no other grades in this class. There is optional homework, but it really isn't necessary to succeed. The average on all of the midterms was in the high 90s. The final isn't made by him though so it is significantly harder than the midterms, but really isn't that bad. Just look at past finals and if you understand the concepts this is an extremely easy class. On top of that he is just a great guy! Very nice and approachable and has the coolest outfits ever. I HIGHLY recommend taking him!!!",0,1,0,0,0,0,0,0,4 midterms and the final,"The grade is entirely based on four midterms and a final, despite easy exams."
CMSC430_016,CMSC430,Jose Calderon,2022,5,"You would be hard pressed to find a professor with more passion, professionalism, kindness, and genuine care for both their work and their students. Jose deserves 6 stars",0,0,0,0,0.0,0.0,0.0,0.0,,No clear workload signal.
CMSC335_004,CMSC335,Nelson Padua-Perez,2022,4,Nice person and good professor overall. This lectures were good and his projects were fair. He understands how stressful college can be and trys to accommodate. Only complate is that sometimes his exams material we have just learned and his review guides have a lot of topics which never actually get tested.,0,0,0,0,0,0,0,1,projects were fair,Projects are fair and the professor is accommodating.
CMSC250_464,CMSC250,Fawzi Emad,2025,5,Player Tip: always expect a quiz in discussion.,0,0,0,0,0.0,0.0,0.0,0.0,,No clear workload signal.
MATH240_301,MATH240,Wiseley Wong,2024,5,"This course is easy if you show up and pay attention in class which I will admit I did not do for a large portion of the course. Overall, Wong is a great professor who understands the subject he is teaching and is able to explain it in a way that is easy for students to understand. There are weekly quizzes he tells you about ahead of time and he covers the material that will be on the quizzes during lecture. There are four Matlab assignments that you work on in groups that can each be done in a day. The exams are also pretty straightforward and there is plenty of practice exams available. Overall, would recommend Wong.",0,1,0,1,0.0,0.0,0.0,0.0,The exams are also pretty straightforward and there is plenty of practice exams available.,Exams or quizzes are demanding and the course requires substantial time.
CMSC351_325,CMSC351,Maksym Morawski,2025,1,Had a traumatic semester with him last year. Don't take him. All the good reviews here are definitely him writing them.,0,0,0,0,0,0,0,0,traumatic semester,No specific workload evidence is provided.
CMSC430_025,CMSC430,Jose Calderon,2023,2,"If you really like low level programming and have a good grasp on computer fundamentals, go for it. If you are looking for this class to provide you with an introduction to compilers and to understand the big picture not just the little details, do not take this course. He switches back and forth between examples and even after watching his videos and reading his notes and knowing exactly what he's doing, the way he explains examples is so so confusing. If he made videos for the later topics in the course this would not have been that big of an issue though. My biggest complaints were how unorganized the professor and staff were (Aside from the lecture notes that are from previous years), how horrific the communication was (dates would be changed, assignments would be posted and the only way to know was to constantly stress-search through the hundredddssss of discord posts) and grading was very unreasonable.",0,0,0,0,0.0,1.0,1.0,0.0,My biggest complaints were how unorganized the professor and staff were (Aside from the lecture notes that are from previous,Grading is harsh or unforgiving and the course is disorganized or unclear.
CMSC216_455,CMSC216,Larry Herman,2025,2,"honestly this class was pretty hard in the sense that i swear not being able to use computers or phones in class made it impossible to follow along with the code he taught us. on top of that lectures were so hard to follow because it was so slow and monotone other than the slight jokes he made. his worksheets were completion which was helpful but they were random so you had to attend every lecture and discussion or else youd get a zero not to mention you literally can not email him at all or he gets so upset, everything gotta be at his office hours or for absenses you have to fill out a form so its kind of difficult to communicate but he was funny and to be fair his tests werent too hard to pass, and his project guidelines were extremely thourough (for them being 10 pages long minimum id expect them to be) as long as you go to every single lecture since he doesnt post his stuff other than very vague slideshows anywhere",0,0,0,1,0,0,0,0,go to every single lecture,Random attendance worksheets and unavailable materials require constant attendance.
CMSC330_264,CMSC330,Anwar Mamat,2025,5,"Gave good examples during class and in his notes which helped with assignments in the course, especially projects. Lectures are definitely disorganized at times with him jumping around content. But when he is focused, you are able to learn a lot in class plus he is a funny guy. Anwar or Cliff? Doesn't matter. The course is the same no matter what so just choose the lecture time that works best for your schedule.",0,0,0,0,0,0,1,0,Lectures are definitely disorganized at times,Lectures are explicitly described as disorganized.
INST414_017,INST414,Cody Buntain,2024,5,"The class wasn't too hard, and we could turn in projects late and still get full points. Using ChatGPT made the projects much easier to complete.",1,0,0,0,0.0,0.0,1.0,0.0,"The class wasn't too hard, and we could turn in projects late and still get full points.",Projects are intensive and the course is disorganized or unclear.
CMSC411_037,CMSC411,Ilchul Yoon,2021,1,"He's clearly knowledgeable, but the class structuring is abysmal, and there are questions on exams that he does not prepare you for. There is also this project that is not that hard and boils down to busy work. Overall, I'd say what I learned what pretty useless if I end up remembering it at all, and I would recommend you take a different course if you're trying to fill out your area 1 requirement.",1,0,0,0,0.0,0.0,0.0,1.0,There is also this project that is not that hard and boils down to busy work.,Projects are intensive and the difficulty is described as fair or manageable.
CMSC421_091,CMSC421,Archit Kambhamettu,2026,5,Review session was super helpful,0,0,0,0,0.0,0.0,0.0,0.0,,No clear workload signal.
INST414_020,INST414,Zubin Jelveh,2024,5,"Great guy, great professor! Honestly was expecting five star reviews on here when I checked and I was really surprised to see otherwise. Excellent professor if you're interested in data science, I really feel like I learned a lot in this class regarding bias/discrimination, and he does a great job of showing actual applications from his previous research. I actually felt like I left this class being able to do work that can have an impact.",0,0,0,0,0,0,0,0,learned a lot,No clear workload signal.
CMSC131_441,CMSC131,Erica Metheny,2026,5,GENUINELY the best best best TA ever. Went above and beyond to explain concepts I didn't understand. She gave me confidence and made me feel so much better about the class.,0,0,0,0,0,0,0,0,explain concepts I didn't understand,No clear workload signal.
