review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC131_397,CMSC131,Ilchul Yoon,2025,2,"This was my first CS class ever. And it was also my last. I couldn't stay in it anymore (as someone taking it for the 4 ""easy"" credits). Maybe I'm just stupid, but coming in with no experience in CS, I found this class boring and exhausting. The jump in difficulty was extreme for me -- we went from coding animals using basic shapes to pong. I cried to my dad and dropped the class. I think Dr. Yoon is genuinely a nice guy. He cares about his students, but maybe he just also hates them at the same time. Otherwise, why would he make this intro class so stupidly hard? I did enjoy staring at his shiny, bald head during lecture, though.",0,0,0,0,0,0,0,0,class boring and exhausting,The review describes general difficulty and exhaustion without a specific workload signal.
CMSC132_415,CMSC132,Pedram Sadeghian,2025,1,Avoid at all costs. Unnecessarily hard weed out class.,0,0,0,0,0,0,0,0,Unnecessarily hard weed out class,No clear workload signal.
CMSC216_383,CMSC216,Christopher Kauffman,2024,5,"Amazing professor. Engaging lectures and fair point system. He loves answering questions, and encourages students to come to his office hours to learn more. There are only 5 projects and all were manageable. Exams were also fair. 6/5 stars.",0,0,0,0,0,0,0,1,projects ... manageable; Exams were also fair,Projects and exams are described as manageable and fair.
CMSC250_427,CMSC250,Fawzi Emad,2024,5,"Great professor, knows the material well and teaches it well. Grades harsh and wants you to write proofs in a specific way, but he makes it clear beforehand how he wants you to write the proofs. If you take Fawzi for CMSC250, you will understand the material well.",0,0,0,0,0,1,0,1,Grades harsh ... clear beforehand,Grading is harsh but expectations are clearly communicated.
CMSC320_161,CMSC320,Maksym Morawski,2025,1,"Dude didn't grade any projects until the very last second, which counts for 46% of grade. Exam answers could be almost exactly the same, but with a 30% variance in grading because everything is free response. You can get a lot of points back through regrades though.",0,1,0,0,0,1,1,0,30% variance in grading,Projects were delayed and exam grading was inconsistent.
CMSC330_238,CMSC330,Katherine Saltzman,2025,5,Best 330 TA. She has a great sense of humor and is very knowledgeable on all of the topics covered in the course.,0,0,0,0,0,0,0,0,very knowledgeable,No clear workload signal.
CMSC335_024,CMSC335,Nelson Padua-Perez,2024,5,"super chill course, especially for senior year :) only downsides sometimes were exams having coding content from other exams (ex. exam1 having the content from previous exam2s, exam2 having content from previous exam3s), but all the topics on exams were always outlined and stuff so it was fair in that regard. not bad at all and would 100% recommend!",0,0,0,0,0,0,0,1,topics on exams were always outlined,Exam coverage is described as fair and clearly outlined.
CMSC351_352,CMSC351,Clyde Kruskal,2025,1,"Worst professor I have ever taken. His handwriting is atrocious and unreadable. His course consists of 5 year old videos and random math theorists. This class is basically all self taught. The exams are extremely difficult and the rubric is very unreasonable. If you don't know how to answer the question leaving it blank is the best answer. Based off the rubric you are either completely right, very close to correct, or wrong and receive no credit. Do not take him.",0,1,0,0,1,1,0,0,self taught ... exams are extremely difficult,The course requires self-teaching and has difficult exams with unreasonable grading.
CMSC411_041,CMSC411,Bahar Asgari,2022,5,"Dr. Asgari teaches this class completely different than how Yoon taught it so put all of that out of your mind. She's a nice person, and competent professor who genuinely wants her students to succeed (and isn't afraid to show it). Don't get me wrong, this class is not an easy A but the exams, projects, and homeworks are all very fair and doable. Her office hours are a valuable resource to get additional clarification and she'll also put practice problems on the course page that are also helpful in understanding the lecture content. Again, this class is difficult but there's less suffering with her as the professor. I HIGHLY recommend taking a course taught by Dr. Asgari!",0,0,0,0,0,0,0,1,"exams, projects, and homeworks are all very fair",The course is difficult but all major assessments are fair and doable.
CMSC412_016,CMSC412,Ashok Agrawala,2023,1,Honestly the exams are worse than the projects and the projects are terrible. Professor refuses to put in any effort whatsoever to make this class suck less.,1,1,0,0,0,0,0,0,exams are worse ... projects are terrible,Both exams and projects are described as very difficult.
CMSC414_071,CMSC414,Michael Marsh,2024,4,"Marsh is super generous with his time. He gave me a 30 minute individual meeting because I waited in line for office hours and he didn't get to me. I also one time emailed him my code and he personally debugged it for me and sent me back some reasons why my code wasn't working. The course itself is ok... if you actually want to learn the material to the level where you could answer interview questions about it or use it on the job, you would probably want to do all of Marsh's assignments(including many that are recommended but not submitted) which would take an unreasonable amount of time. That being said, you can get away with doing a lot less and still get a good grade. In Marsh's defense, I think is mostly because this course would work better if 417 and 456 were prerequisites for this class(we had to spend a lot of time going over material covered in these courses for background) The grading is a bit slow on things graded by the TAs(challenge questions) so for anyone taking this class I would recommend submitting those as soon as possible to make sure you have time to resubmit(they are graded somewhat harshly). In addition, the buffer overflow and build-it projects were extremely challenging so make sure you have enough time on those.",1,0,0,1,0,1,1,0,projects were extremely challenging,"Projects are challenging and time-intensive, with slow and harsh grading."
CMSC420_129,CMSC420,Justin Wyss-Gallifent,2024,5,"Justin's lectures and notes are comprehensive. If there are no major changes to his curriculum, be prepared for weekly homework assignments (he'll drop the lowest score out of 11) and coding projects every 2-3 weeks (he'll drop the lowest score out of 6). On the positive side, Justin provides a helpful exam outline during the review day, along with to previous exams and their solutions. Furthermore, he is flexible with deadlines upon student request. Pros: + Justin is a concise and responsive professor, adept at explaining complex concepts with clarity. + He and his TAs are supportive, ensuring timely assignment grading and effective communication. + The homework and exams are fair and reasonable. Cons: - The class workload resembles CMSC351, with occasional challenging proofs, although they are kept to a minimum. Tips: Make use of TA office hours and visit Justin's office for any questions or clarifications. Attend lectures, especially if you prefer a hands-on approach over simply reading latex notes. Use practice exams and thoroughly review homework and latex notes, particularly for proofs. --> Overall, I highly recommend Justin as an instructor. However, if you lean towards a more flexible class structure, Marsh might be a preferable choice.",1,0,1,1,0,0,0,1,weekly homework ... coding projects every 2-3 weeks,Frequent homework and projects create a heavy but fair workload.
CMSC421_041,CMSC421,Tianyi Zhou,2023,1,"Simply put, this class has been nothing short of an absolute trainwreck. The class is completely disorganized from the way that the assignments are written to the way that TAs provide contradictory information which makes assignments take longer simply due to the fact that we do not know what the instructors are asking us to do. Attendance is required, which is questionable but tolerable because we only had to sign a piece of paper at first. Recently, the professor adopted an in-class quiz policy where we are required to take a quiz which is graded on accuracy as a way to show our attendance. This is acceptable but we are often given minimal instructions on how to solve the quiz problem and the class is usually confused on how to proceed with the provided information on the quiz. To top it all off, we are assigned a research project that we are already a few weeks behind schedule on because the staff was spending time putting out all of the fires that the first weeks have caused.",0,1,0,1,0,0,1,0,assignments take longer ... completely disorganized,Disorganization increases assignment time and quizzes are unclear.
CMSC422_010,CMSC422,Ramani Duraiswami,2021,2,"I took this course in Fall 2021 Pros: + Generally nice guy Cons: - Is a meh lecturer, I do not feel as though his explanations of concepts were sufficient - Lectures are handwritten, and is often hard to read - Lecture notes are not easily available in one place, they were on Piazza but not readily organized, and half of them weren't even there. - Lecture barely helps with coding assignments - THE CLASS IS VERY DISORGANIZED! Along with what I've already said, lectures were delivered during the Tuesday morning section and the Thursday afternoon section. However, since you are only scheduled for either the morning or afternoon section, you would either have to find some way to get there in time, or (most likely), watch the lecture videos which are extremely long. They did not make it clear how exactly content was split up between both of those classes, or what quizzes were on what concepts, and it took me about a month and a half to figure out how the class was organized. - Workload is very high, even for a 3 credit CS class",0,0,0,1,1,0,1,0,Workload is very high,"The course is highly time-consuming, disorganized, and relies on outside learning."
CMSC424_029,CMSC424,Peter Keleher,2021,3,"I don't think Pete is as bad as some of the reviews below state. First, I will say yes, he is not responsive on Piazza, and him not releasing recorded lectures is annoying, along with his refusal to post the slides beforehand. Some quizzes were hard, and he could have released answers sooner to some. The query optimizing part of the class was needlessly difficult and not very useful. However, I thought his lectures were ok- I've definitely seen waaaay worse. His exams were quite easy, with high averages, and were a lot like the quizzes. No final, too, which is a big relief. Projects were also reasonable, and I appreciate that they were worth a lot of the grade. Considering that other classes like CMSC351 and CMSC451 place an undue grade emphasis like 2 exams, this is a major relief. He also gave a total of 20 late days across all assignments, no penalties, which is also great. The content is also very useful to learn, especially in the first half. Like a review below said, if you plan on taking CMSC424 and see Pete is teaching it, you should be fine with him.",0,0,0,0,0,0,0,1,Projects were also reasonable,Projects and exams are described as reasonable and manageable.
CMSC430_006,CMSC430,David Van Horn,2019,4,"Such a great professor. Clearly is dedicated to the course and the students. He genuinely wants kids to learn and to build a curriculum that is strong and representative. However 430 was very challenging and a lot of work so beware if you enroll to spend 10-15+ hours on projects. There were no exams though just projects for all assignments, midterms, and final.",1,0,0,1,0,0,0,0,spend 10-15+ hours on projects,Projects dominate the course and require substantial time.
