review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC351_326,CMSC351,Ting Jiang,2025,4,"Ting is a really nice and understanding professor. I had friends who took Justin and he didn't let them submit their homework even a little bit late or retake any quizzes; this one time I forgot about a lecture quiz and I emailed Ting and she was so kind and understanding; she let me redo it without any real explanation. Also she's super young so she's chill like I have literally seen her at the dining hall with her friends. I will say her lectures were really boring and hard to understand at times because of her accent so if you want to learn stuff with organized notes, go to Justin's lecture. I also 100% recommend taking Ting over Justin despite the reviews because, I cannot stress this enough: her exams were SO MUCH EASIER than Justin's. Justin exams always threw some kinda curveballs at you where you really have to understand the core of the concept or some crazy detail in the psuedocode while Ting's questions were mostly straightforward. The cheat code for this class is to source the exams from the previous semester because she reuses a lot of questions so keep that in mind it really helped me practice for the real thing, even though she did supply her own practice exams.",0,0,0,0,1,0,1,0,lectures were really boring and hard to understand,"The review suggests students may need outside structure, but not heavy workload."
CMSC351_353,CMSC351,Ting Jiang,2025,1,"The worst professor i've ever had. This is the only time I have left a review and it's to tell you not to take her, her exams are unreasonably hard and barely reflect the material for 30% of the questions. The average on the exams is a C and she does not curve. If you miss class her notes are useless, and the homework's are grades very harshly. I am getting an B+ but this is still the worst teacher ever. The basics of this class shouldn't even be that hard looking back but she teaches and tests in such a way that it is nearly impossible to get a good grade.",0,1,0,0,0,1,0,0,exams are unreasonably hard,"Exam-heavy and harsh grading are supported, but homework is only described as harshly graded."
STAT400_491,STAT400,David Pincus,2026,3,"I had him for fall 2025 Lectures are pretty boring, he mostly just reads from the textbook and stumbles over his words frequently, so its a good idea to have the textbook open while attending. He didn't collect homework this semester, but had frequent quizzes which were pretty much rehashed homework questions. As long as you do the homework, you'll be fine for the quizzes. Midterm exams were fair, but he threw a curveball for the final making it much harder than it probably should have. People below mentioned what he did so I'm not gonna repeat it here. At least he gave us a nice curve to compensate for it. tldr: If you have no other options, he's fine, but I wouldn't be jumping at the opportunity to take him again.",0,1,0,0,0,0,0,0,frequent quizzes,Frequent quizzes and a hard final create an exam-heavy signal.
STAT400_488,STAT400,Shixin Zheng,2026,4,"A bit of context, this is now a post-semester review being written roughly a week after final grades locked in. I already left a mid-semester review, where I gave Zheng only 4 stars to balance out the immediate 1-star review that someone left only 3 weeks into the semester. Now giving my afterthoughts: As the more recent reviews have already said, Zheng definitely improved over the semester, so I won’t restate everything they covered. I mainly want to give some context for why the early reviews were so harsh. After Midterm 1 (with an average of ~76), the GroupMe turned into an echo chamber where a vocal group of students circulated the same complaints for weeks. One of those students made a Google doc listing the issues with Zheng, and people in the chat were explicitly encouraging others to leave 1-star PlanetTerp reviews based on these complaints. That doc later got cleaned up into a printed letter addressed directly to Zheng, asking whether he could provide extra credit, more practice problems, drop the lowest midterms, etc. This letter was then left at the back of class for students to sign if they wanted to. To be fair, I’m not sure Zheng would have become as lenient as he did if that letter hadn’t happened, so some of that pushback was probably warranted, even if it shouldn’t take something like that for changes to happen in a class. Personally, I thought the Midterm 1 practice was definitely enough. I skipped a few problems that clearly weren’t exam-relevant, but most of them lined up with lecture examples or homework. Some questions were basically the same concept with different numbers. I get why people were frustrated, but a lot of the “nothing like the practice” claims were overstated. For Midterm 2 and the final, the practice was even closer to the exams; arguably too close in some cases. Zheng's sections were originally meant to be taught by Anurag Dey, who is known for being an ""easy A"" according to his PlanetTerp reviews for STAT401. We got switched to Zheng about a month before the fall semester started (i.e., during summer break), so it's possible that the same people were expecting that kind of class and were frustrated when the difficulty didn't match those expectations. I agree with another recent review that 3.5/5 is probably a more accurate rating, but I’m giving a 4 just to round up and reflect the improvement and to help improve the average. Zheng has shown he has the capacity to improve, communicates fairly well given the language barrier, and is certainly not the ""worst"" choice for STAT400 as other reviewers had initially put it.",0,0,0,0,0,0,0,1,practice was definitely enough,The review describes the course as improved and manageable after feedback.
STAT400_493,STAT400,David Pincus,2026,3,"He's a fine, default professor I'd say. His teaching is really straightforward and simple. He doesn't go too easy or too hard and his exams are really fair (EXCEPT THE FINAL) and the quizzes are trivial when you have a TA that basically gives you the answers beforehand. He curved everyone's grades insanely hard after everyone bombed the final he told us not to worry about so I really appreciate him for that because I KNOW I didn't earn this A, lol. People say he's boring but I don't think so. He teaches what's in the book and his exams don't throw curveballs. If he says ""you'll have to do something like this on the exam"" then chances are that exact question is word-for-word on the exam. All of this is an exception from the final literally do not trust what he says about the final because he straight up LIED to us about it. And then curved my B- into an A somehow, so.. I don't mind him too much. Soft recommend.",0,1,0,0,0,0,0,1,FINAL was much harder,"The final exam was difficult, but the review says the course was mostly fair and curved."
STAT400_487,STAT400,Shixin Zheng,2026,4,"As said by other people, this class started out really rough. It was a pain and honestly I thought about dropping it more than a few times. However, after a letter and some feedback from the class, he did improve quite a bit. Definitely his first time teaching this course and it showed. He took lots of feedback and added curves, bonus points, and made the final pretty fair. In the future he has also promised to hand out bonus points in class for questions and such so make sure to participate. He has a bit of a thick accent so I would look at the textbook/youtube a bit. Pretty hard class, but mainly because it was his find time teaching it.",0,0,0,0,1,0,1,0,look at the textbook/youtube a bit,The review describes rough organization and reliance on outside resources.
STAT400_490,STAT400,Hatice Sahinoglu,2026,3,"Hatice is very nice, I like her. But it's always very difficult to stay engaged during lecture, in part due to her style. This definitely isn't the hardest course in the world, and has a decent enough curve, but the exams were definitely some of the harder things I've taken.",0,1,0,0,0,0,0,0,exams were definitely some of the harder things,The review mainly supports exam difficulty.
STAT400_489,STAT400,Shixin Zheng,2026,4,"In the second half of the semester, he got so much better. His midterm 2 was really good and he gave us a practice exam that was very similar to the actual exam. He also told us exactly what kind of problems would be on the exam. His final exam was extremely easy, it was almost a copy and paste of the practice exam he gave us before the final exam. It was his first time teaching so the first half of the semester was rough, but he listened to the students advice and really turned things around. The bad reviews were mostly all from the first half of the semester after the first midterm which went horribly.",0,0,0,0,0,0,0,1,practice exam was very similar,The review says assessments became fair and predictable after improvement.
STAT400_492,STAT400,Hatice Sahinoglu,2026,3,"I was a little bit harsh in my last review. but you have to go to lecture, simply looking over her posted notes is not enough because they are often missing important things she covered during lecture/on exams. She's nice though, just not organized on Canvas.",0,1,0,0,0,0,1,0,posted notes is not enough,The review points to exam-relevant missing notes and Canvas disorganization.
STAT400_483,STAT400,David Pincus,2025,4,"I'd say i'm the average-slightly below student. I got below the means on all exams. Exam 1 mean was 73, i got a 68, Exam 2 mean was 74, i got a 73, Final exam mean was a 133/200 (66), i got a 118/200 (59). Canvas said i got a 67.99% in the class, but i ended with a B-. He curved the hell out of the grades. Exam 1 and 2 were really fair content wise, if you did the quizzes, did the HW, it wouldve been really easy for you, i just freeze when it comes to exams. However, the final exam, was crazy, didnt really put much of the earlier topics you'd expect on there, and heavily focused on later end material with 2/6 questions being insane . It was 100% more difficult in my opinion then previous final exams. BUT, i would recommend him for this class. His quizzes are word for word based off the hw questions, just different numbers and slightly different wording (sometimes its word for word the same). If you do the homeworks which is just questions from the textbook, you will easily get a 100% on these, i averaged like a 89% on them. He teaches pretty well in the beginning, he sometimes get confusing as time goes on, especially if the topic is slightly more difficult because he just goes off textbook definitions. He does welcome questions, he stops the lecture several times to make sure no ones confused obviously were all too afraid to ask. You can 100% self teach yourself on this course though if you wanted. Watch youtube videos, look at the textbook (YT is better for the more complex ones), do the HW's, quizzes, attend OH if you cant find good enough YT vids for a HW, join the groupME for the class for any specific things he couldve said in the lecture about upcoming quizzes/exams, you'll be fine, trust.",0,1,0,0,1,0,0,1,final exam was crazy,"The review describes exam difficulty and self-teaching, while still recommending the professor."
